2025-05-30 14:00:52,189 - INFO - Using device: cpu
2025-05-30 14:00:52,240 - INFO - 数据加载成功
2025-05-30 14:00:52,240 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901PLUS', 'SZ901/\nSZ901PLUS', 'SZ901', 'SZ901Plus/SZ901', 'Cobb500', 'SZ901plus', 'SZ901\nSZ901plus', 'SZ901 PIUS', 'SZ901\nSZ901Plus', 'Cobb 500', '901.0', 'SZ901/901plus', '901plus', 'CObb', 'cobb', 'SZ901 Plus', 'SZ901 PLUS', '901Plus']
2025-05-30 14:00:52,240 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-30 14:00:52,240 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-30 14:00:52,248 - INFO - FarmSupervisor 编码: {'丁家宝': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李明': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-30 14:00:52,260 - INFO - 训练集大小: 323, 批次数量: 6
2025-05-30 14:00:52,260 - INFO - 验证集大小: 81, 批次数量: 2
2025-05-30 14:00:52,287 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=256, nhead=16, num_layers=3
2025-05-30 14:00:54,809 - INFO - Epoch 1/200 | Train Loss: 0.970686 | Val Loss: 2.928025 | Train R2: -2.7509 | Val R2: -2.3862 | Best Val R2: -2.3862
2025-05-30 14:00:55,859 - INFO - Epoch 2/200 | Train Loss: 0.822009 | Val Loss: 1.124844 | Train R2: -2.4144 | Val R2: -0.4577 | Best Val R2: -0.4577
2025-05-30 14:00:56,925 - INFO - Epoch 3/200 | Train Loss: 0.379298 | Val Loss: 1.099853 | Train R2: -0.4572 | Val R2: -0.1050 | Best Val R2: -0.1050
2025-05-30 14:00:58,009 - INFO - Epoch 4/200 | Train Loss: 0.385800 | Val Loss: 0.976154 | Train R2: -0.3127 | Val R2: -0.0012 | Best Val R2: -0.0012
2025-05-30 14:00:58,723 - INFO - Epoch 5/200 | Train Loss: 0.340264 | Val Loss: 0.851929 | Train R2: -0.2840 | Val R2: -0.0394 | Best Val R2: -0.0012
2025-05-30 14:00:59,352 - INFO - Epoch 6/200 | Train Loss: 0.324464 | Val Loss: 0.860401 | Train R2: -0.2194 | Val R2: -0.0987 | Best Val R2: -0.0012
2025-05-30 14:01:00,375 - INFO - Epoch 7/200 | Train Loss: 0.328384 | Val Loss: 0.882613 | Train R2: -0.2308 | Val R2: -0.1074 | Best Val R2: -0.0012
2025-05-30 14:01:01,209 - INFO - Epoch 8/200 | Train Loss: 0.336128 | Val Loss: 0.851561 | Train R2: -0.3638 | Val R2: -0.0566 | Best Val R2: -0.0012
2025-05-30 14:01:02,329 - INFO - Epoch 9/200 | Train Loss: 0.309375 | Val Loss: 0.834031 | Train R2: -0.2532 | Val R2: -0.0316 | Best Val R2: -0.0012
2025-05-30 14:01:03,481 - INFO - Epoch 10/200 | Train Loss: 0.310517 | Val Loss: 0.830833 | Train R2: -0.2493 | Val R2: -0.0267 | Best Val R2: -0.0012
2025-05-30 14:01:04,617 - INFO - Epoch 11/200 | Train Loss: 0.314268 | Val Loss: 0.852190 | Train R2: -0.3001 | Val R2: -0.0388 | Best Val R2: -0.0012
2025-05-30 14:01:05,508 - INFO - Epoch 12/200 | Train Loss: 0.300548 | Val Loss: 0.879139 | Train R2: -0.1628 | Val R2: -0.0422 | Best Val R2: -0.0012
2025-05-30 14:01:06,439 - INFO - Epoch 13/200 | Train Loss: 0.292712 | Val Loss: 0.826675 | Train R2: -0.1083 | Val R2: 0.0109 | Best Val R2: 0.0109
2025-05-30 14:01:07,492 - INFO - Epoch 14/200 | Train Loss: 0.290488 | Val Loss: 0.850468 | Train R2: -0.1568 | Val R2: -0.0296 | Best Val R2: 0.0109
2025-05-30 14:01:08,142 - INFO - Epoch 15/200 | Train Loss: 0.301849 | Val Loss: 0.820401 | Train R2: -0.1563 | Val R2: -0.0127 | Best Val R2: 0.0109
2025-05-30 14:01:09,207 - INFO - Epoch 16/200 | Train Loss: 0.280593 | Val Loss: 0.847371 | Train R2: -0.1898 | Val R2: -0.0482 | Best Val R2: 0.0109
2025-05-30 14:01:10,459 - INFO - Epoch 17/200 | Train Loss: 0.279672 | Val Loss: 0.873937 | Train R2: -0.1160 | Val R2: -0.0682 | Best Val R2: 0.0109
2025-05-30 14:01:11,559 - INFO - Epoch 18/200 | Train Loss: 0.284939 | Val Loss: 0.859102 | Train R2: -0.1143 | Val R2: -0.0469 | Best Val R2: 0.0109
2025-05-30 14:01:12,769 - INFO - Epoch 19/200 | Train Loss: 0.281140 | Val Loss: 0.844673 | Train R2: -0.1389 | Val R2: -0.0295 | Best Val R2: 0.0109
