2025-05-30 10:29:24,381 - INFO - Using device: cpu
2025-05-30 10:29:24,439 - INFO - 数据加载成功
2025-05-30 10:29:24,447 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901PLUS', 'SZ901/\nSZ901PLUS', 'SZ901', 'SZ901Plus/SZ901', 'Cobb500', 'SZ901plus', 'SZ901\nSZ901plus', 'SZ901 PIUS', 'SZ901\nSZ901Plus', 'Cobb 500', '901.0', 'SZ901/901plus', '901plus', 'CObb', 'cobb', 'SZ901 Plus', 'SZ901 PLUS', '901Plus']
2025-05-30 10:29:24,449 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-30 10:29:24,449 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-30 10:29:24,449 - INFO - FarmSupervisor 编码: {'丁家宝': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李明': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-30 10:29:24,460 - INFO - 训练集大小: 323, 批次数量: 6
2025-05-30 10:29:24,460 - INFO - 验证集大小: 81, 批次数量: 2
2025-05-30 10:29:24,567 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-30 10:29:39,702 - INFO - Epoch 27/200 | Train Loss: 0.260763 | Val Loss: 0.825640 | Train R2: -0.0316 | Val R2: 0.0139 | Best Val R2: 0.0199
2025-05-30 10:29:40,208 - INFO - Epoch 28/200 | Train Loss: 0.263495 | Val Loss: 0.825860 | Train R2: -0.0467 | Val R2: 0.0194 | Best Val R2: 0.0199
2025-05-30 10:29:40,822 - INFO - Epoch 29/200 | Train Loss: 0.260696 | Val Loss: 0.826143 | Train R2: 0.0044 | Val R2: 0.0195 | Best Val R2: 0.0199
2025-05-30 10:29:41,398 - INFO - Epoch 30/200 | Train Loss: 0.261363 | Val Loss: 0.826029 | Train R2: -0.0104 | Val R2: 0.0196 | Best Val R2: 0.0199
2025-05-30 10:29:41,893 - INFO - Epoch 31/200 | Train Loss: 0.263051 | Val Loss: 0.819352 | Train R2: 0.0075 | Val R2: 0.0193 | Best Val R2: 0.0199
2025-05-30 10:29:42,359 - INFO - Epoch 32/200 | Train Loss: 0.262946 | Val Loss: 0.814062 | Train R2: -0.0446 | Val R2: 0.0035 | Best Val R2: 0.0199
2025-05-30 10:29:42,969 - INFO - Epoch 33/200 | Train Loss: 0.261600 | Val Loss: 0.814551 | Train R2: -0.0432 | Val R2: -0.0170 | Best Val R2: 0.0199
2025-05-30 10:29:43,636 - INFO - Epoch 34/200 | Train Loss: 0.261625 | Val Loss: 0.816129 | Train R2: -0.0273 | Val R2: -0.0369 | Best Val R2: 0.0199
2025-05-30 10:29:44,293 - INFO - Epoch 35/200 | Train Loss: 0.262979 | Val Loss: 0.821936 | Train R2: -0.0712 | Val R2: -0.0538 | Best Val R2: 0.0199
2025-05-30 10:29:44,802 - INFO - Epoch 36/200 | Train Loss: 0.261623 | Val Loss: 0.830347 | Train R2: -0.0804 | Val R2: -0.0633 | Best Val R2: 0.0199
2025-05-30 10:29:45,222 - INFO - Epoch 37/200 | Train Loss: 0.259866 | Val Loss: 0.827366 | Train R2: -0.0536 | Val R2: -0.0491 | Best Val R2: 0.0199
2025-05-30 10:29:45,852 - INFO - Epoch 38/200 | Train Loss: 0.258935 | Val Loss: 0.822632 | Train R2: -0.0369 | Val R2: -0.0335 | Best Val R2: 0.0199
2025-05-30 10:29:46,453 - INFO - Epoch 39/200 | Train Loss: 0.258388 | Val Loss: 0.820592 | Train R2: -0.0156 | Val R2: -0.0258 | Best Val R2: 0.0199
2025-05-30 10:29:47,078 - INFO - Epoch 40/200 | Train Loss: 0.257410 | Val Loss: 0.820200 | Train R2: -0.0460 | Val R2: -0.0240 | Best Val R2: 0.0199
2025-05-30 10:29:47,591 - INFO - Epoch 41/200 | Train Loss: 0.257825 | Val Loss: 0.814689 | Train R2: -0.0859 | Val R2: 0.0105 | Best Val R2: 0.0199
2025-05-30 10:29:48,113 - INFO - Epoch 42/200 | Train Loss: 0.257291 | Val Loss: 0.818379 | Train R2: -0.0084 | Val R2: 0.0385 | Best Val R2: 0.0385
2025-05-30 10:29:48,560 - INFO - Epoch 43/200 | Train Loss: 0.260488 | Val Loss: 0.818997 | Train R2: -0.0264 | Val R2: 0.0350 | Best Val R2: 0.0385
2025-05-30 10:29:48,861 - INFO - Epoch 44/200 | Train Loss: 0.259531 | Val Loss: 0.821210 | Train R2: -0.0372 | Val R2: 0.0171 | Best Val R2: 0.0385
2025-05-30 10:29:49,215 - INFO - Epoch 45/200 | Train Loss: 0.256563 | Val Loss: 0.822297 | Train R2: 0.0081 | Val R2: 0.0073 | Best Val R2: 0.0385
2025-05-30 10:29:49,647 - INFO - Epoch 46/200 | Train Loss: 0.257839 | Val Loss: 0.825206 | Train R2: -0.0637 | Val R2: -0.0006 | Best Val R2: 0.0385
2025-05-30 10:29:50,186 - INFO - Epoch 47/200 | Train Loss: 0.257220 | Val Loss: 0.824885 | Train R2: -0.0496 | Val R2: -0.0028 | Best Val R2: 0.0385
2025-05-30 10:29:50,735 - INFO - Epoch 48/200 | Train Loss: 0.256543 | Val Loss: 0.824118 | Train R2: -0.0536 | Val R2: -0.0042 | Best Val R2: 0.0385
2025-05-30 10:29:51,308 - INFO - Epoch 49/200 | Train Loss: 0.258043 | Val Loss: 0.823558 | Train R2: -0.0243 | Val R2: -0.0043 | Best Val R2: 0.0385
2025-05-30 10:29:51,807 - INFO - Epoch 50/200 | Train Loss: 0.258436 | Val Loss: 0.823380 | Train R2: -0.0424 | Val R2: -0.0042 | Best Val R2: 0.0385
2025-05-30 10:29:52,432 - INFO - Epoch 51/200 | Train Loss: 0.257228 | Val Loss: 0.815975 | Train R2: -0.0356 | Val R2: 0.0133 | Best Val R2: 0.0385
2025-05-30 10:29:52,959 - INFO - Epoch 52/200 | Train Loss: 0.257637 | Val Loss: 0.816757 | Train R2: -0.0366 | Val R2: 0.0240 | Best Val R2: 0.0385
2025-05-30 10:29:53,594 - INFO - Epoch 53/200 | Train Loss: 0.262074 | Val Loss: 0.819417 | Train R2: -0.0357 | Val R2: 0.0191 | Best Val R2: 0.0385
2025-05-30 10:29:54,298 - INFO - Epoch 54/200 | Train Loss: 0.263259 | Val Loss: 0.815568 | Train R2: -0.0270 | Val R2: 0.0181 | Best Val R2: 0.0385
2025-05-30 10:29:54,783 - INFO - Epoch 55/200 | Train Loss: 0.260081 | Val Loss: 0.815134 | Train R2: -0.0545 | Val R2: 0.0153 | Best Val R2: 0.0385
2025-05-30 10:29:55,172 - INFO - Epoch 56/200 | Train Loss: 0.257960 | Val Loss: 0.822069 | Train R2: -0.0132 | Val R2: 0.0055 | Best Val R2: 0.0385
2025-05-30 10:29:55,565 - INFO - Epoch 57/200 | Train Loss: 0.256106 | Val Loss: 0.829808 | Train R2: -0.0091 | Val R2: -0.0041 | Best Val R2: 0.0385
2025-05-30 10:29:55,914 - INFO - Epoch 58/200 | Train Loss: 0.256664 | Val Loss: 0.834006 | Train R2: 0.0076 | Val R2: -0.0081 | Best Val R2: 0.0385
2025-05-30 10:29:56,221 - INFO - Epoch 59/200 | Train Loss: 0.257541 | Val Loss: 0.834138 | Train R2: -0.0230 | Val R2: -0.0075 | Best Val R2: 0.0385
2025-05-30 10:29:56,582 - INFO - Epoch 60/200 | Train Loss: 0.257599 | Val Loss: 0.833902 | Train R2: -0.0343 | Val R2: -0.0070 | Best Val R2: 0.0385
