2025-05-29 15:27:25,329 - INFO - Using device: cpu
2025-05-29 15:27:25,356 - INFO - 数据加载成功
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901', 'Cobb500', 'L1', 'Cobb 500', 'COBB', 'sz901', 'SZ901PLUS', 'SZ901/SZ901Plus', 'SZ901 ', '901.0']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-29 15:27:25,358 - INFO - FarmSupervisor 编码: {'丁家保': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李晓': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-29 15:27:25,368 - INFO - 训练集大小: 217, 批次数量: 4
2025-05-29 15:27:25,369 - INFO - 验证集大小: 55, 批次数量: 1
2025-05-29 15:27:25,379 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-29 15:27:36,653 - INFO - Epoch 28/200 | Train Loss: 0.285586 | Val Loss: 1.206578 | Train R2: -0.3191 | Val R2: -0.1386 | Best Val R2: 0.2088
2025-05-29 15:27:36,937 - INFO - Epoch 29/200 | Train Loss: 0.276157 | Val Loss: 1.202491 | Train R2: -0.2634 | Val R2: -0.1192 | Best Val R2: 0.2088
2025-05-29 15:27:37,281 - INFO - Epoch 30/200 | Train Loss: 0.273730 | Val Loss: 1.201495 | Train R2: -0.1449 | Val R2: -0.1125 | Best Val R2: 0.2088
2025-05-29 15:27:37,585 - INFO - Epoch 31/200 | Train Loss: 0.279425 | Val Loss: 1.201382 | Train R2: -0.1320 | Val R2: -0.1120 | Best Val R2: 0.2088
2025-05-29 15:27:38,001 - INFO - Epoch 32/200 | Train Loss: 0.282524 | Val Loss: 1.169690 | Train R2: -0.2817 | Val R2: 0.0768 | Best Val R2: 0.2088
2025-05-29 15:27:38,384 - INFO - Epoch 33/200 | Train Loss: 0.270622 | Val Loss: 1.191219 | Train R2: -0.0570 | Val R2: 0.1878 | Best Val R2: 0.2088
2025-05-29 15:27:38,784 - INFO - Epoch 34/200 | Train Loss: 0.284047 | Val Loss: 1.220284 | Train R2: 0.0651 | Val R2: 0.2278 | Best Val R2: 0.2278
2025-05-29 15:27:39,043 - INFO - Epoch 35/200 | Train Loss: 0.282715 | Val Loss: 1.225604 | Train R2: 0.0538 | Val R2: 0.2314 | Best Val R2: 0.2314
2025-05-29 15:27:39,331 - INFO - Epoch 36/200 | Train Loss: 0.279472 | Val Loss: 1.221262 | Train R2: 0.1149 | Val R2: 0.2191 | Best Val R2: 0.2314
2025-05-29 15:27:39,635 - INFO - Epoch 37/200 | Train Loss: 0.279187 | Val Loss: 1.209892 | Train R2: 0.0975 | Val R2: 0.2070 | Best Val R2: 0.2314
2025-05-29 15:27:39,943 - INFO - Epoch 38/200 | Train Loss: 0.277813 | Val Loss: 1.199456 | Train R2: 0.0739 | Val R2: 0.1973 | Best Val R2: 0.2314
2025-05-29 15:27:40,243 - INFO - Epoch 39/200 | Train Loss: 0.271777 | Val Loss: 1.194497 | Train R2: 0.0487 | Val R2: 0.1903 | Best Val R2: 0.2314
2025-05-29 15:27:40,545 - INFO - Epoch 40/200 | Train Loss: 0.271711 | Val Loss: 1.192606 | Train R2: 0.0794 | Val R2: 0.1874 | Best Val R2: 0.2314
2025-05-29 15:27:40,843 - INFO - Epoch 41/200 | Train Loss: 0.273881 | Val Loss: 1.192472 | Train R2: 0.0921 | Val R2: 0.1872 | Best Val R2: 0.2314
2025-05-29 15:27:41,135 - INFO - Epoch 42/200 | Train Loss: 0.273371 | Val Loss: 1.155045 | Train R2: 0.0851 | Val R2: 0.0860 | Best Val R2: 0.2314
2025-05-29 15:27:41,465 - INFO - Epoch 43/200 | Train Loss: 0.266143 | Val Loss: 1.158222 | Train R2: -0.0429 | Val R2: -0.0091 | Best Val R2: 0.2314
2025-05-29 15:27:41,784 - INFO - Epoch 44/200 | Train Loss: 0.270492 | Val Loss: 1.177752 | Train R2: -0.0746 | Val R2: -0.0846 | Best Val R2: 0.2314
2025-05-29 15:27:42,140 - INFO - Epoch 45/200 | Train Loss: 0.270992 | Val Loss: 1.200025 | Train R2: -0.2185 | Val R2: -0.1330 | Best Val R2: 0.2314
2025-05-29 15:27:42,457 - INFO - Epoch 46/200 | Train Loss: 0.269291 | Val Loss: 1.216853 | Train R2: -0.1663 | Val R2: -0.1558 | Best Val R2: 0.2314
2025-05-29 15:27:42,799 - INFO - Epoch 47/200 | Train Loss: 0.274607 | Val Loss: 1.222554 | Train R2: -0.2767 | Val R2: -0.1572 | Best Val R2: 0.2314
2025-05-29 15:27:43,102 - INFO - Epoch 48/200 | Train Loss: 0.278274 | Val Loss: 1.221472 | Train R2: -0.2232 | Val R2: -0.1505 | Best Val R2: 0.2314
2025-05-29 15:27:43,402 - INFO - Epoch 49/200 | Train Loss: 0.269503 | Val Loss: 1.218681 | Train R2: -0.2213 | Val R2: -0.1442 | Best Val R2: 0.2314
2025-05-29 15:27:43,781 - INFO - Epoch 50/200 | Train Loss: 0.271570 | Val Loss: 1.217228 | Train R2: -0.1615 | Val R2: -0.1412 | Best Val R2: 0.2314
2025-05-29 15:27:44,074 - INFO - Epoch 51/200 | Train Loss: 0.273291 | Val Loss: 1.217147 | Train R2: -0.2537 | Val R2: -0.1410 | Best Val R2: 0.2314
2025-05-29 15:27:44,356 - INFO - Epoch 52/200 | Train Loss: 0.270699 | Val Loss: 1.187839 | Train R2: -0.1563 | Val R2: -0.0501 | Best Val R2: 0.2314
2025-05-29 15:27:44,585 - INFO - Epoch 53/200 | Train Loss: 0.267831 | Val Loss: 1.161673 | Train R2: -0.1192 | Val R2: 0.0334 | Best Val R2: 0.2314
2025-05-29 15:27:44,866 - INFO - Epoch 54/200 | Train Loss: 0.265442 | Val Loss: 1.153759 | Train R2: -0.0387 | Val R2: 0.0848 | Best Val R2: 0.2314
2025-05-29 15:27:45,139 - INFO - Epoch 55/200 | Train Loss: 0.267290 | Val Loss: 1.156077 | Train R2: -0.0210 | Val R2: 0.1111 | Best Val R2: 0.2314
2025-05-29 15:27:45,443 - INFO - Epoch 56/200 | Train Loss: 0.261697 | Val Loss: 1.161188 | Train R2: 0.0138 | Val R2: 0.1218 | Best Val R2: 0.2314
2025-05-29 15:27:45,767 - INFO - Epoch 57/200 | Train Loss: 0.265863 | Val Loss: 1.165646 | Train R2: 0.0361 | Val R2: 0.1229 | Best Val R2: 0.2314
