2025-05-30 15:22:19,924 - INFO - Using device: cpu
2025-05-30 15:22:19,963 - INFO - 数据加载成功
2025-05-30 15:22:19,965 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901PLUS', 'SZ901/\nSZ901PLUS', 'SZ901', 'SZ901Plus/SZ901', 'Cobb500', 'SZ901plus', 'SZ901\nSZ901plus', 'SZ901 PIUS', 'SZ901\nSZ901Plus', 'Cobb 500', '901.0', 'SZ901/901plus', '901plus', 'CObb', 'cobb', 'SZ901 Plus', 'SZ901 PLUS', '901Plus']
2025-05-30 15:22:19,966 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-30 15:22:19,967 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-30 15:22:19,968 - INFO - FarmSupervisor 编码: {'丁家宝': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李明': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-30 15:22:19,980 - INFO - 训练集大小: 323, 批次数量: 6
2025-05-30 15:22:19,980 - INFO - 验证集大小: 81, 批次数量: 2
2025-05-30 15:22:20,141 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=256, nhead=16, num_layers=3
2025-05-30 15:22:24,149 - INFO - Epoch 1/200 | Train Loss: 0.556436 | Val Loss: 3.322000 | Train R2: -1.2720 | Val R2: -3.4398 | Best Val R2: -3.4398
2025-05-30 15:22:25,890 - INFO - Epoch 2/200 | Train Loss: 0.874230 | Val Loss: 1.348626 | Train R2: -2.8027 | Val R2: -0.7752 | Best Val R2: -0.7752
2025-05-30 15:22:27,521 - INFO - Epoch 3/200 | Train Loss: 0.397287 | Val Loss: 0.890339 | Train R2: -0.5800 | Val R2: 0.0324 | Best Val R2: 0.0324
2025-05-30 15:22:29,161 - INFO - Epoch 4/200 | Train Loss: 0.314644 | Val Loss: 0.861968 | Train R2: -0.1214 | Val R2: -0.0097 | Best Val R2: 0.0324
2025-05-30 15:22:30,603 - INFO - Epoch 5/200 | Train Loss: 0.312733 | Val Loss: 0.859186 | Train R2: -0.1977 | Val R2: -0.0892 | Best Val R2: 0.0324
2025-05-30 15:22:31,419 - INFO - Epoch 6/200 | Train Loss: 0.303389 | Val Loss: 0.873917 | Train R2: -0.2550 | Val R2: -0.0927 | Best Val R2: 0.0324
2025-05-30 15:22:32,154 - INFO - Epoch 7/200 | Train Loss: 0.300962 | Val Loss: 0.829134 | Train R2: -0.1880 | Val R2: -0.0194 | Best Val R2: 0.0324
2025-05-30 15:22:32,783 - INFO - Epoch 8/200 | Train Loss: 0.288228 | Val Loss: 0.817633 | Train R2: -0.1297 | Val R2: 0.0129 | Best Val R2: 0.0324
2025-05-30 15:22:33,432 - INFO - Epoch 9/200 | Train Loss: 0.291757 | Val Loss: 0.820763 | Train R2: -0.1289 | Val R2: 0.0109 | Best Val R2: 0.0324
2025-05-30 15:22:34,567 - INFO - Epoch 10/200 | Train Loss: 0.293133 | Val Loss: 0.820834 | Train R2: -0.2161 | Val R2: 0.0098 | Best Val R2: 0.0324
2025-05-30 15:22:35,392 - INFO - Epoch 11/200 | Train Loss: 0.288827 | Val Loss: 0.823356 | Train R2: -0.1292 | Val R2: -0.0309 | Best Val R2: 0.0324
