Message,GrowthDay,Time,
系统锁定   ,56       ,13:33:00,
系统锁定   ,57       ,07:53:24,
系统锁定   ,57       ,08:22:15,
报警测试   ,57       ,12:00:00,
报警测试   ,58       ,12:00:00,
系统锁定   ,58       ,14:57:04,
系统锁定   ,58       ,15:38:02,
系统锁定   ,58       ,16:43:15,
管理员登陆  ,58       ,20:14:07,
更改开关   ,58       ,20:14:19,
系统锁定   ,58       ,20:19:27,
报警测试   ,59       ,12:00:00,
新的鸡群   ,0        ,04:47:28,
报警测试   ,0        ,12:00:00,
管理员登陆  ,0        ,16:20:27,
系统锁定   ,0        ,16:26:06,
普通鸡舍模式 ,0        ,19:39:00,
备用设置提醒 ,0        ,19:39:00,
管理员登陆  ,0        ,22:20:21,
系统锁定   ,0        ,22:25:24,
管理员登陆  ,0        ,22:37:03,
系统锁定   ,0        ,22:47:24,
管理员登陆  ,1        ,02:44:29,
更改开关   ,1        ,02:45:05,
系统锁定   ,1        ,02:50:05,
报警测试   ,1        ,12:00:00,
管理员登陆  ,2        ,10:23:06,
系统锁定   ,2        ,10:28:20,
报警测试   ,2        ,12:00:00,
管理员登陆  ,2        ,15:11:23,
系统锁定   ,2        ,15:17:12,
管理员登陆  ,2        ,18:22:26,
重置报警   ,2        ,18:22:28,
系统锁定   ,2        ,18:28:06,
管理员登陆  ,2        ,18:44:04,
系统锁定   ,2        ,18:49:23,
备用设置提醒 ,3        ,00:57:18,
报警测试   ,3        ,12:00:00,
管理员登陆  ,3        ,14:21:01,
更改开关   ,3        ,14:22:25,
更改开关   ,3        ,14:23:14,
更改开关   ,3        ,14:23:25,
系统锁定   ,3        ,14:28:28,
报警测试   ,4        ,12:00:00,
管理员登陆  ,4        ,15:19:27,
系统锁定   ,4        ,15:29:08,
管理员登陆  ,4        ,21:23:12,
系统锁定   ,4        ,21:29:26,
备用设置提醒 ,5        ,03:33:28,
报警测试   ,5        ,12:00:00,
管理员登陆  ,5        ,15:33:09,
系统锁定   ,5        ,15:38:28,
报警测试   ,6        ,12:00:00,
管理员登陆  ,6        ,15:18:15,
系统锁定   ,6        ,15:24:16,
备用设置提醒 ,6        ,18:39:02,
管理员登陆  ,6        ,20:28:08,
系统锁定   ,6        ,20:34:17,
报警测试   ,7        ,12:00:00,
管理员登陆  ,7        ,15:33:17,
系统锁定   ,7        ,15:40:26,
管理员登陆  ,8        ,02:17:05,
