Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[2.75, 4.15)",72,0.178217822,62,10,0.138888889,0.441346124,0.030229418,0.003748305,W3_18-20天_外部-平均_MEAN,306.9093715
"[4.15, 9.85)",189,0.467821782,148,41,0.216931217,-0.099562961,0.004775886,0.000596739,W3_18-20天_外部-平均_MEAN,327.8154017
"[9.85, inf)",45,0.111386139,23,22,0.488888889,-1.338751406,0.268282445,0.031235884,W3_18-20天_外部-平均_MEAN,358.040008
Special,0,0,0,0,0,0,0,0,W3_18-20天_外部-平均_MEAN,
Missing,0,0,0,0,0,0,0,0,W3_18-20天_外部-平均_MEAN,
,404,1,323,81,0.20049505,,0.541821167,0.062303202,W3_18-20天_外部-平均_MEAN,
"(-inf, 2.75)",118,0.292079208,89,29,0.245762712,-0.261862629,0.021599188,0.002692211,W3_21-23天_外部-平均_MEAN,314.8904772
"[2.75, 3.85)",54,0.133663366,43,11,0.203703704,-0.019898326,5.32E-05,6.65E-06,W3_21-23天_外部-平均_MEAN,301.4342644
"[3.85, 5.05)",72,0.178217822,65,7,0.097222222,0.845273952,0.097053203,0.011782915,W3_21-23天_外部-平均_MEAN,310.0913425
"[5.05, 5.55)",32,0.079207921,31,1,0.03125,2.050784036,0.171506153,0.018328155,W3_21-23天_外部-平均_MEAN,316.8629003
"[5.55, 6.30)",27,0.066831683,25,2,0.074074074,1.142525476,0.060220259,0.007143094,W3_21-23天_外部-平均_MEAN,308.6532072
"[6.30, 8.85)",52,0.128712871,42,10,0.192307692,0.051881357,0.000341077,4.26E-05,W3_21-23天_外部-平均_MEAN,333.5753411
"[8.85, inf)",49,0.121287129,28,21,0.428571429,-1.095521096,0.189056215,0.022516916,W3_21-23天_外部-平均_MEAN,350.8825231
Special,0,0,0,0,0,0,0,0,W3_21-23天_外部-平均_MEAN,
Missing,0,0,0,0,0,0,0,0,W3_21-23天_外部-平均_MEAN,
,404,1,323,81,0.20049505,,0.539829333,0.062512575,W3_21-23天_外部-平均_MEAN,
