Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[26.25, inf)",22,0.08088235294117647,11,11,0.5,-1.3725641683079886,0.204935848171331,0.023778305062608,W3_15-17天_外部-平均_MEAN,443.9199620353997
,272,1.0,217,55,0.20220588235294118,,0.583046396821266,0.072502212487686,W3_15-17天_外部-平均_MEAN,405.5520973074085
"[-inf, 14.75)",38,0.13970588235294118,37,1,0.02631578947368421,2.238353744336236,0.3409574450945351,0.035486616535642,W3_18-20天_外部-平均_MEAN,385.5064889416366
"[14.75, 15.45)",22,0.08088235294117647,20,2,0.09090909090909091,0.9300209246860572,0.05189727154092285,0.0062630322231802,W3_18-20天_外部-平均_MEAN,378.33753091311496
"[15.45, 20.45)",128,0.47058823529411764,113,15,0.1171875,0.6467734493021419,0.16040631838578465,0.0197084577568412,W3_18-20天_外部-平均_MEAN,396.1243022568033
"[20.45, 22.50)",24,0.08823529411764706,19,5,0.20833333333333334,-0.037563101575648614,0.00012589225496656452,1.57356067679407e-05,W3_18-20天_外部-平均_MEAN,418.5728803330862
"[22.50, 26.25)",46,0.16911764705882354,23,23,0.5,-1.3725641683079886,0.4285022279946012,0.0497182742218168,W3_18-20天_外部-平均_MEAN,441.29726297614286
"[26.25, inf)",14,0.051470588235294115,5,9,0.6428571428571429,-1.9603508332101076,0.2756153077609183,0.0298166698791333,W3_18-20天_外部-平均_MEAN,449.15459242692333
,272,1.0,217,55,0.20220588235294118,,1.2575044630317287,0.14100878622338145,W3_18-20天_外部-平均_MEAN,405.5520973074085
"[-inf, 14.15)",48,0.17647058823529413,47,1,0.020833333333333332,2.47758343340207,0.49157248180109775,0.0493799475127115,W3_21-23天_外部-平均_MEAN,379.05013692444777
"[14.15, 18.75)",108,0.39705882352941174,103,5,0.046296296296296294,1.6527269074875468,0.6342261613986565,0.0713319817312726,W3_21-23天_外部-平均_MEAN,386.84834907740674
"[18.75, 21.25)",62,0.22794117647058823,35,27,0.43548387096774194,-1.113052972822904,0.3668831499862006,0.0436306321558212,W3_21-23天_外部-平均_MEAN,431.9641281618476
"[21.25, 22.80)",18,0.0661764705882353,5,13,0.7222222222222222,-2.328075613335425,0.4966301224593206,0.0510169431063072,W3_21-23天_外部-平均_MEAN,455.97016212730716
"[22.80, inf)",36,0.1323529411764706,27,9,0.25,-0.2739518796398789,0.010742310822912719,0.0013386055543597,W3_21-23天_外部-平均_MEAN,426.3028702932113
,272,1.0,217,55,0.20220588235294118,,2.000054226468188,0.21669811006047218,W3_21-23天_外部-平均_MEAN,405.55209730740853
