GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
0        ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
1        ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,229        ,不详         ,229     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,358        ,56         ,358     ,56            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,569        ,58         ,569     ,58            ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,1092       ,91         ,1092    ,91            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,486        ,-56        ,486     ,-56           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,798        ,64         ,798     ,64            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1220       ,52         ,1220    ,52            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1504       ,23         ,1504    ,23            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1477       ,-2         ,1477    ,-2            ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1853       ,25         ,1853    ,25            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1908       ,2          ,1908    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,2018       ,5          ,2018    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2128       ,5          ,2128    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2477       ,16         ,2477    ,16            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,4201       ,69         ,4201    ,69            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2523       ,-40        ,2523    ,-40           ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2624       ,3          ,2624    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,3046       ,16         ,3046    ,16            ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,3027       ,不详         ,3027    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,2963       ,-3         ,2963    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3110       ,4          ,3110    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3311       ,6          ,3311    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3614       ,9          ,3614    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3908       ,8          ,3908    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3348       ,-15        ,3348    ,-15           ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3321       ,不详         ,3321    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3541       ,6          ,3541    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3458       ,-3         ,3458    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,3266       ,-6         ,3266    ,-6            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,2624       ,-20        ,2624    ,-20           ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,2541       ,-4         ,2541    ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,2605       ,2          ,2605    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,1835       ,-30        ,1835    ,-30           ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,2321       ,26         ,2321    ,26            ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,2642       ,13         ,2642    ,13            ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,660        ,-76        ,660     ,-76           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,459        ,-31        ,459     ,-31           ,0       ,0             ,0       ,0             ,0       ,0             ,
39       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
