index,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天
count,2028.0,2018.0,2009.0,2000.0,1982.0,1959.0
mean,-0.0,-0.51,-0.8,-1.06,-0.94,-0.23
std,38.21,28.78,25.03,21.66,16.02,12.28
min,-259.59,-163.65,-142.52,-142.52,-125.74,-53.84
25%,-12.25,-11.73,-10.96,-10.13,-8.81,-7.16
50%,-0.12,-0.4,-0.37,-0.36,-0.08,0.44
75%,13.15,11.05,9.96,8.85,6.64,6.16
max,157.69,126.95,122.85,88.84,75.67,53.5
