index,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天
count,9186.0,9027.0,8739.0,8419.0,7801.0,7180.0
mean,-0.0,0.26,0.48,0.71,1.04,1.3
std,16.5,14.99,14.06,13.3,11.92,10.82
min,-342.66,-90.0,-84.43,-82.76,-56.91,-52.27
25%,-6.66,-6.09,-5.63,-5.21,-4.42,-3.92
50%,0.93,0.97,0.97,0.95,0.97,1.1
75%,7.79,7.65,7.55,7.45,7.26,7.01
max,77.38,75.26,70.88,70.88,69.27,52.2
