index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
max,60.18,47.21,41.45,40.26,41.51,48.2,52.51,47.21,47.21,172.09,180.58,216.44,28 - 30日龄
count,957.0,957.0,957.0,957.0,957.0,956.0,947.0,957.0,957.0,957.0,954.0,938.0,31 - 33日龄
mean,-5.98,-0.01,-5.97,-7.27,-9.19,-5.96,2.28,1.55,1.98,-0.58,-4.77,-2.39,31 - 33日龄
std,23.83,13.52,22.01,20.74,19.64,17.56,14.5,13.39,12.37,12.44,11.64,10.94,31 - 33日龄
min,-91.98,-46.73,-87.7,-83.67,-65.99,-60.87,-53.99,-46.19,-46.19,-52.11,-52.11,-29.83,31 - 33日龄
25%,-21.12,-7.96,-20.18,-21.27,-22.58,-16.94,-6.7,-6.29,-5.43,-8.45,-11.81,-8.05,31 - 33日龄
50%,-4.88,0.62,-5.57,-6.97,-8.5,-5.53,3.01,2.14,2.83,-0.23,-4.6,-2.59,31 - 33日龄
75%,9.89,9.0,8.51,6.6,3.62,5.84,12.63,10.38,10.5,7.51,2.34,3.24,31 - 33日龄
max,65.4,46.86,65.4,65.4,60.18,40.26,41.69,68.43,55.01,47.21,47.21,180.58,31 - 33日龄
count,653.0,653.0,653.0,653.0,653.0,653.0,653.0,653.0,653.0,653.0,653.0,652.0,34 - 35日龄
mean,-13.57,-3.81,-9.76,-6.0,-4.46,-8.44,-8.39,-3.5,-0.97,2.19,1.24,-4.28,34 - 35日龄
std,33.63,20.77,27.39,24.39,22.49,19.79,17.98,16.34,15.42,13.67,11.77,12.47,34 - 35日龄
min,-358.0,-313.24,-100.79,-91.98,-87.7,-65.99,-60.87,-62.09,-46.73,-46.19,-44.93,-52.11,34 - 35日龄
25%,-32.66,-14.66,-26.79,-21.44,-18.75,-22.23,-19.86,-11.54,-8.85,-6.35,-5.13,-11.78,34 - 35日龄
50%,-10.35,-1.08,-7.02,-4.3,-4.54,-7.97,-7.57,-2.19,-0.61,2.46,1.99,-4.54,34 - 35日龄
75%,8.5,8.03,9.33,10.64,10.72,4.61,4.28,6.14,7.09,10.74,9.48,3.84,34 - 35日龄
max,63.36,58.61,63.36,58.99,65.4,60.18,40.26,162.85,162.85,68.43,34.64,47.21,34 - 35日龄
count,740.0,740.0,740.0,735.0,718.0,675.0,619.0,735.0,718.0,698.0,651.0,588.0,10 - 12日龄
mean,-3.55,0.22,-3.77,-1.62,0.22,-0.49,-1.27,-2.12,-1.84,-1.28,0.43,-0.25,10 - 12日龄
std,8.16,7.45,8.34,8.7,7.61,4.18,4.2,9.65,9.6,8.39,3.41,3.27,10 - 12日龄
min,-29.32,-33.51,-32.11,-32.11,-32.11,-32.82,-32.82,-34.27,-34.27,-34.27,-18.12,-18.04,10 - 12日龄
25%,-8.17,-4.1,-8.27,-6.19,-2.11,-1.26,-0.72,-7.46,-6.86,-3.47,-0.31,-0.51,10 - 12日龄
50%,-3.04,0.2,-2.82,-0.27,0.03,-0.02,-0.01,-1.58,-0.7,0.01,0.02,0.01,10 - 12日龄
75%,2.31,4.26,1.98,3.82,4.07,0.29,0.13,4.06,4.07,3.82,1.08,0.31,10 - 12日龄
max,16.63,34.83,16.63,23.94,23.94,16.5,6.78,31.73,28.74,26.44,26.28,18.79,10 - 12日龄
