index,W3_0-2天_外部-平均_MEAN,W3_3-5天_外部-平均_MEAN,W3_6-8天_外部-平均_MEAN,W3_9-11天_外部-平均_MEAN,W3_12-14天_外部-平均_MEAN,W3_15-17天_外部-平均_MEAN,W3_18-20天_外部-平均_MEAN,W3_21-23天_外部-平均_MEAN
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,25.72,26.35,25.27,25.06,25.57,25.03,24.69,24.24
std,7.46,7.44,8.29,8.55,8.02,7.99,8.64,8.16
min,10.2,11.8,9.6,7.6,8.4,7.7,5.7,6.9
25%,19.9,26.65,27.0,26.4,26.82,26.9,27.32,26.7
50%,29.35,29.6,29.0,29.0,28.7,28.45,28.7,28.1
75%,31.18,31.3,30.8,30.5,30.4,29.6,29.7,28.9
max,33.3,33.5,32.8,33.0,32.7,32.5,31.5,31.0
