index,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天
count,8154.0,7956.0,7615.0,7295.0,6653.0,6053.0
mean,0.0,-0.13,-0.21,-0.3,-0.41,-0.45
std,12.82,12.44,12.19,11.92,11.39,10.9
min,-71.47,-64.8,-64.8,-64.8,-54.55,-54.55
25%,-6.23,-6.17,-6.19,-6.23,-6.08,-5.81
50%,0.16,0.08,0.02,-0.0,-0.03,0.02
75%,6.72,6.41,6.28,6.07,5.64,5.35
max,66.76,66.76,66.76,56.83,47.03,46.05
