Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[11.50, 19.75)",957,0.07274247491638795,714,243,0.25391849529780564,-0.3764615966442346,0.011520938435669571,0.001431673019397315,water_per_diff_前5天,0.002427553329192819
"[19.75, inf)",793,0.06027667984189723,520,273,0.3442622950819672,-0.8099260992527573,0.049273410899577444,0.0059961653008832345,water_per_diff_前5天,0.0027365705027995032
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前5天,
Missing,1915,0.1455609607783521,1715,200,0.10443864229765012,0.6945678774087332,0.055924754778310666,0.006853380528614318,water_per_diff_前5天,0.001322241922109971
,13156,1.0,10665,2491,0.18934326543022195,,0.3106043649869463,0.03735658129478842,water_per_diff_前5天,
"(-inf, -19.38)",687,0.05221951961082396,376,311,0.45269286754002913,-1.2644868844326103,0.11329037391015022,0.01328735796588037,water_per_diff_前7天,0.004628923590229261
"[-19.38, -1.90)",3515,0.2671784737002128,2874,641,0.18236130867709816,0.046147494075029716,0.0005608411665779547,7.009892584693015e-05,water_per_diff_前7天,0.002023805232842029
"[-1.90, 2.20)",2273,0.17277287929461843,2028,245,0.10778706555213374,0.6592640385230764,0.060520858690835615,0.0074310163083131965,water_per_diff_前7天,0.0014784308186306986
"[2.20, 5.52)",1321,0.10041045910611128,1116,205,0.15518546555639667,0.24021304815957745,0.005367580655272929,0.00066933908730129,water_per_diff_前7天,0.0018165695006196658
"[5.52, 15.35)",1614,0.12268166615992702,1252,362,0.22428748451053285,-0.2134297758089978,0.005961055365776223,0.000743720865296422,water_per_diff_前7天,0.002407847384965996
"[15.35, inf)",973,0.07395865004560656,578,395,0.40596094552929085,-1.073595011872015,0.11205635800309663,0.0133708771465889,water_per_diff_前7天,0.0033790548643478887
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前7天,
Missing,2773,0.2107783520826999,2441,332,0.11972592859718716,0.540744985833201,0.05169506118942806,0.006384287300764478,water_per_diff_前7天,0.0014822885161000945
,13156,1.0,10665,2491,0.18934326543022195,,0.34945212898113764,0.041956697599991585,water_per_diff_前7天,
