Age_interval,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总
,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天
10 - 12日龄,0.5086532080614915,0.5674347572604242,0.2152339986724513,0.4217681597509844,0.2834604747070894,0.234542700228147,0.1495944457204726,0.0010967671792731,0.5017438776941056,0.3945767136122921,0.1519416615440169,0.1637802387111421
13 - 15日龄,0.1729166036932129,0.1751957333362752,0.1531054720206645,0.1684737193260169,0.4817026810221687,0.2993312445036831,0.0742917527790816,0.1391885229732943,0.1706995014420913,0.1817398688552357,0.4254269261703182,0.3718764727099306
16 - 18日龄,0.1875215104922973,0.2086084040745615,0.1607629615215385,0.1427044277700504,0.1223992168467049,0.1167995014675612,0.240516739703869,0.16168735079938,0.1749283765518716,0.08004009034408,0.1721658558603993,0.1446086070802321
19 - 21日龄,0.2545371219975584,0.1781951317110383,0.1025840586241576,0.2153573614318543,0.4083354017926326,0.1515213059265454,0.1848879743600862,0.143220555497069,0.1810374396304186,0.2067486535649076,0.1054945698730538,0.2317382600074578
22 - 24日龄,0.5548626397294503,0.292439969896203,0.1011649843584371,0.258375565250394,0.1757696730342469,0.1898664251554621,0.178525879229292,0.1842633459578218,0.2102941114840966,0.1329944069377838,0.2938413110607749,0.0895154408181558
25 - 27日龄,0.7900144759905257,0.4406967548120249,0.364263280039541,0.285924763842425,0.1053151509770848,0.1404651016155466,0.4157844242044423,0.3363224825589115,0.3066262788536895,0.2481821177065852,0.1289131200394331,0.1775290886662273
28 - 30日龄,0.8301627951382033,0.6157592674420828,0.5308356867075015,0.4617028739100733,0.1976914186486508,0.0972082479346325,0.1124429122870421,0.0766070262414968,0.0577302525667777,0.2002613694278182,0.2032349679351465,0.276386297912893
31 - 33日龄,1.7574163921341204,1.4197891189401337,0.9109884828497296,0.5053536804788449,0.2196871538602667,0.1287519289770591,0.5082301191122949,0.3997569342795069,0.2259463589782249,0.108243287045026,0.1070007069014363,0.1204078437622047
34 - 35日龄,1.5020536012423116,1.0824652090746014,0.8595021931434157,0.3750704939080717,0.1763981351972499,0.04686874640506,0.4824942072466897,0.49304200876529,0.3477938927477393,0.1212877039668418,0.1947346993452713,0.0798972352055173
