index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
count,1075.0,1075.0,1075.0,1062.0,1042.0,995.0,970.0,1062.0,1042.0,1018.0,982.0,960.0,13 - 15日龄
mean,-0.26,3.97,-4.23,-6.43,-5.63,-3.34,-1.27,2.27,-0.7,-0.55,-1.1,0.72,13 - 15日龄
std,11.97,6.98,10.41,9.19,8.49,7.71,5.2,7.47,6.32,6.47,6.92,3.65,13 - 15日龄
min,-36.44,-22.42,-36.44,-36.44,-30.87,-25.59,-22.36,-22.42,-22.42,-37.97,-37.97,-11.28,13 - 15日龄
25%,-8.84,-1.06,-10.78,-12.69,-11.25,-8.25,-3.72,-3.24,-4.76,-5.05,-5.39,-0.97,13 - 15日龄
50%,-0.59,4.14,-4.84,-6.42,-5.64,-2.06,-0.28,1.27,-1.03,-0.47,-0.07,0.12,13 - 15日龄
75%,7.8,8.97,2.36,-0.52,-0.07,1.5,0.98,7.96,2.93,3.5,3.55,2.12,13 - 15日龄
max,39.84,28.44,39.84,33.09,33.09,28.93,18.29,28.44,78.41,25.72,29.22,20.45,13 - 15日龄
count,1129.0,1129.0,1129.0,1115.0,1098.0,1072.0,1029.0,1115.0,1098.0,1085.0,1051.0,1009.0,16 - 18日龄
mean,1.02,-4.44,5.46,4.24,-0.07,-6.17,-5.12,1.7,4.42,3.96,-0.65,-1.99,16 - 18日龄
std,12.35,7.47,10.7,10.73,11.84,9.19,8.39,8.81,7.03,7.06,5.96,7.81,16 - 18日龄
min,-35.67,-29.56,-23.29,-25.13,-36.44,-36.44,-32.11,-22.39,-19.91,-22.42,-22.42,-37.97,16 - 18日龄
25%,-7.92,-9.83,-1.96,-3.57,-8.53,-12.56,-10.85,-2.47,-0.33,-1.06,-4.72,-6.5,16 - 18日龄
50%,0.95,-3.66,4.89,3.66,-0.39,-6.13,-4.2,1.36,4.3,4.04,-0.9,-1.44,16 - 18日龄
75%,8.99,1.04,12.42,11.13,7.77,-0.16,0.09,4.86,9.15,8.98,3.02,2.7,16 - 18日龄
max,42.79,19.2,42.79,40.36,39.84,33.09,28.93,136.8,62.38,28.44,31.73,31.73,16 - 18日龄
count,1184.0,1184.0,1184.0,1173.0,1166.0,1140.0,1110.0,1173.0,1166.0,1154.0,1122.0,1097.0,19 - 21日龄
mean,-4.02,2.34,-6.36,-3.34,0.79,3.73,-4.52,-2.86,-3.58,-3.53,4.37,2.09,19 - 21日龄
std,12.15,7.41,11.71,12.7,12.3,11.06,10.37,9.15,10.4,10.71,7.14,7.71,19 - 21日龄
min,-37.76,-26.43,-37.76,-37.76,-35.88,-29.37,-36.44,-29.56,-29.56,-29.56,-23.27,-23.27,19 - 21日龄
25%,-12.5,-2.5,-14.31,-12.24,-7.91,-4.18,-11.19,-9.87,-9.89,-9.63,-0.36,-3.3,19 - 21日龄
50%,-4.44,2.38,-6.95,-3.84,0.83,3.15,-5.04,-2.7,-3.2,-3.33,4.21,0.72,19 - 21日龄
75%,3.95,7.39,1.66,5.03,8.84,10.93,1.81,3.24,1.62,1.23,9.14,7.95,19 - 21日龄
