Age_interval,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总
,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天
10 - 12日龄,0.1037826967485976,0.4342897598685877,0.4973846347985018,0.0562795760030142,0.4630431156059325,1.1760940433923874,0.2247545672942792,0.6085461351621919,0.2297323435452603,0.4013747407477921,0.3272107553478439,0.2166655829910994
13 - 15日龄,0.0668034198934793,0.3183108842678642,0.1604585679998721,0.3632796327168072,0.1413930055150505,0.4844017273834433,0.1957203272264871,0.2179133982791636,0.4035165463097873,0.3593008734400401,0.1229009182395397,0.3898570924540722
16 - 18日龄,0.2882236867285509,0.2073821723348372,0.1567666418868424,0.2586103217197729,0.138368867144671,0.3364325802167808,0.2429695747654204,0.23591238913828,0.3729748835741675,0.5058426595262268,0.2683095415498903,0.2906791380513348
19 - 21日龄,0.7758063463950357,0.9484187870043068,0.8004465099299185,0.1917947200472977,0.1403658421147771,0.3483320050049366,0.2686788365641436,0.1955745276557708,0.4193374616873265,0.1258010417703162,0.365007511942953,0.5685521615135127
22 - 24日龄,0.6936395016775362,1.0983852825804017,1.321425229552193,1.58235970787172,0.3899694995375802,0.3244145257098328,0.4639417160958662,0.2523834789576776,0.6356423237305107,0.2132048286455937,0.3285068782626972,0.4663928804940813
25 - 27日龄,0.4341067904427717,0.1917171230320949,0.1880568327690233,0.2030292204721076,0.1927373542108174,0.2629641881804882,0.1926415566452571,0.1135970594600203,0.0945030869557803,0.0867312110003881,0.1729345565381759,0.2601218483402492
28 - 30日龄,0.7302473093510116,0.5407511819302913,0.3517914921784777,0.2729466339742528,0.0646404922891217,0.054646268907757,0.1699915196643022,0.1465651718152806,0.2167859002104162,0.1359538303742201,0.1604324046781888,0.0487190281599381
31 - 33日龄,1.0019653701515452,0.9135744489544108,0.7600173583498862,0.5138563623890691,0.2697325808383558,0.0789576976574068,0.2500227885683444,0.1660703952519179,0.2202441512530683,0.1206815752566057,0.1247825665033509,0.0882450656086965
34 - 35日龄,0.971871743666738,1.013258222523116,0.8515845157344507,0.784444286567983,0.4665900387412497,0.1945366977386816,0.1448171830441949,0.2477538646280833,0.1746462366487828,0.2083111538865391,0.1730558452309348,0.1428185901442119
