Age_interval,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总
,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天
10 - 12日龄,0.198220766897937,0.1738479463594175,0.1717067598802236,0.3307481168762559,0.2924157979024603,0.2288116512074685,0.1662716420273477,0.3228154421780411,0.2880264191330386,0.159503113698321,0.3170337238990856,0.1866398640349886
13 - 15日龄,0.1373923881465477,0.1344441026987142,0.2677143396149892,0.4194894201265737,0.0730278101398048,0.4083309402206883,0.0586180091433188,0.0931214646619932,0.1111471403058048,0.1011456583835563,0.1764368592766539,0.1472958311695323
16 - 18日龄,0.1179201830599763,0.2234084244656172,0.2257383893180019,0.1554352784448724,0.2989574368324203,0.1502632214983661,0.0808532977307452,0.0726157630990272,0.0876421149727522,0.0414210462185732,0.131272559294673,0.3512588228191028
19 - 21日龄,0.199178527618987,0.2526392028811482,0.1290996177379179,0.1254506949028361,0.1874582261550922,0.1790653470959711,0.113797882516761,0.1316263942172957,0.0852399720075808,0.1556617509857762,0.0556786148071823,0.127321960033275
22 - 24日龄,0.2042511850893821,0.1805524762145144,0.1296047687728034,0.1809136890451937,0.1916720454558991,0.2724362757755745,0.242408140894129,0.3006198818677788,0.1981573332927417,0.0740255812392488,0.0970212553207587,0.2022524835481584
25 - 27日龄,0.2722191237842224,0.180064309080426,0.2366123770496254,0.1990997558468161,0.1634275227369376,0.1767501764993626,0.1614334022961524,0.1070896398465569,0.1557773967177693,0.1093890295153338,0.2028005611944822,0.2656699368643095
28 - 30日龄,0.2323318471698959,0.1406341852529694,0.2214461351184597,0.0798000576569039,0.0970692974585815,0.1868033420873839,0.1064805800204881,0.1112227877412199,0.1628538359739266,0.1578605726282651,0.1722312985396885,0.0838444375135528
31 - 33日龄,0.4787977208950216,0.1669201760123816,0.3020758538013209,0.310232363567954,0.2999422822856424,0.2034449954581109,0.2693452329233187,0.0846460307786546,0.1573260316571551,0.1813689841613556,0.1123701368538345,0.4758524119197845
34 - 35日龄,0.2335485999275885,0.2322535090269219,0.5680309339902694,0.4980774744103264,0.2439289217477075,0.1572474867084836,0.3418732823111769,0.3756230432033564,0.1721736592424375,0.297634412619357,0.4454962183008084,0.3187288907142749
