index,W3_0-2天_湿度内部平均_MEAN,W3_3-5天_湿度内部平均_MEAN,W3_6-8天_湿度内部平均_MEAN,W3_9-11天_湿度内部平均_MEAN,W3_12-14天_湿度内部平均_MEAN,W3_15-17天_湿度内部平均_MEAN,W3_18-20天_湿度内部平均_MEAN,W3_21-23天_湿度内部平均_MEAN
count,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0
mean,56.81,66.82,69.91,71.62,74.5,74.37,73.78,74.13
std,13.72,13.91,14.97,15.94,14.62,14.4,15.71,15.46
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,49.78,60.8,64.47,65.9,68.3,68.9,69.3,69.8
50%,57.3,68.45,70.8,72.65,74.95,74.6,75.4,76.05
75%,65.6,74.1,77.05,79.4,83.02,82.6,82.7,81.9
max,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
