index,W3_0-2天_湿度内部平均_MEAN,W3_3-5天_湿度内部平均_MEAN,W3_6-8天_湿度内部平均_MEAN,W3_9-11天_湿度内部平均_MEAN,W3_12-14天_湿度内部平均_MEAN,W3_15-17天_湿度内部平均_MEAN,W3_18-20天_湿度内部平均_MEAN,W3_21-23天_湿度内部平均_MEAN
count,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0
mean,62.81,71.33,73.6,73.53,74.44,74.3,72.91,72.65
std,16.11,14.15,16.78,17.51,18.68,17.41,17.69,18.54
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,54.35,65.62,69.3,69.3,68.55,70.65,69.75,68.78
50%,64.45,72.5,75.5,76.25,78.85,77.8,75.65,75.8
75%,71.62,77.53,82.95,81.82,85.0,84.1,83.25,83.12
max,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
