index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
count,870.0,870.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,871.0,34 - 35日龄
mean,-47.42,-8.58,-38.95,-31.56,-24.8,-17.46,-13.06,-7.4,-6.76,-3.63,-2.06,-4.45,34 - 35日龄
std,64.92,33.56,49.69,44.76,39.9,29.53,19.55,17.8,17.9,16.29,20.38,12.45,34 - 35日龄
min,-358.0,-319.75,-354.0,-348.0,-340.0,-328.0,-71.58,-70.12,-70.12,-60.84,-308.65,-47.55,34 - 35日龄
25%,-75.4,-16.51,-65.06,-52.63,-42.07,-31.83,-27.49,-17.83,-17.23,-13.61,-10.14,-11.54,34 - 35日龄
50%,-33.54,-3.54,-29.99,-25.19,-18.94,-15.67,-12.8,-5.94,-5.24,-2.47,-0.37,-4.35,34 - 35日龄
75%,-7.88,6.9,-5.28,-2.76,-0.95,-0.13,0.46,5.0,5.65,6.85,7.93,2.96,34 - 35日龄
max,62.65,56.75,69.44,69.44,65.92,63.93,39.69,40.32,71.56,66.76,46.79,50.76,34 - 35日龄
count,1226.0,1226.0,1226.0,1226.0,1226.0,1225.0,1221.0,1226.0,1226.0,1226.0,1224.0,1210.0,31 - 33日龄
mean,-27.94,-5.05,-22.89,-19.04,-16.81,-10.77,-3.3,-3.82,-2.2,-3.22,-4.71,-1.38,31 - 33日龄
std,42.37,16.76,37.74,32.2,26.77,19.12,15.78,19.74,18.84,18.35,12.08,10.4,31 - 33日龄
min,-348.0,-70.12,-340.0,-334.0,-328.0,-71.58,-57.69,-308.65,-308.65,-308.65,-47.55,-45.27,31 - 33日龄
25%,-45.32,-14.8,-37.7,-33.07,-31.0,-23.82,-14.18,-12.89,-10.71,-11.01,-11.8,-7.94,31 - 33日龄
50%,-21.39,-3.74,-18.28,-16.2,-15.33,-10.33,-2.5,-2.35,-1.13,-2.41,-4.62,-1.23,31 - 33日龄
75%,-2.08,5.89,-1.06,-0.65,-0.41,2.39,7.7,6.7,7.27,6.2,2.39,5.4,31 - 33日龄
max,69.44,66.76,65.92,65.92,63.93,50.98,50.98,66.76,66.76,46.79,60.92,60.92,31 - 33日龄
count,572.0,572.0,572.0,572.0,571.0,569.0,558.0,572.0,571.0,570.0,563.0,549.0,10 - 12日龄
mean,-6.45,0.65,-7.1,-4.71,-2.54,-1.77,-0.59,-2.28,-2.08,-1.67,-0.79,0.33,10 - 12日龄
std,8.76,6.94,8.45,8.96,7.74,4.63,3.6,8.58,8.19,7.23,3.9,3.25,10 - 12日龄
min,-32.48,-16.04,-32.48,-32.48,-28.55,-16.54,-13.91,-27.99,-27.99,-27.99,-14.05,-14.05,10 - 12日龄
25%,-12.21,-3.17,-12.73,-10.17,-6.95,-4.84,-2.24,-7.31,-7.13,-4.66,-2.59,-0.94,10 - 12日龄
50%,-6.8,0.15,-6.98,-3.26,-1.79,-1.15,-0.2,-2.57,-1.47,-0.68,-0.51,-0.02,10 - 12日龄
75%,-1.1,4.86,-1.17,0.92,1.88,0.75,0.98,2.41,3.71,2.75,0.42,1.78,10 - 12日龄
max,29.46,26.68,26.83,20.41,20.41,14.82,14.95,26.68,17.74,17.74,28.46,17.82,10 - 12日龄
count,665.0,665.0,665.0,663.0,663.0,663.0,661.0,663.0,663.0,663.0,662.0,660.0,13 - 15日龄
mean,-2.59,1.76,-4.35,-5.6,-5.78,-4.27,-0.69,1.23,0.18,0.91,-2.03,1.04,13 - 15日龄
std,9.34,6.18,9.03,9.08,8.8,8.63,5.49,6.35,6.63,7.06,7.87,4.43,13 - 15日龄
min,-27.29,-15.26,-27.29,-27.29,-32.48,-32.48,-16.54,-15.26,-15.26,-16.04,-27.99,-10.96,13 - 15日龄
25%,-9.3,-2.57,-10.33,-11.72,-11.51,-9.25,-3.95,-3.08,-4.07,-3.14,-6.49,-0.9,13 - 15日龄
50%,-2.48,2.15,-4.16,-6.06,-6.07,-2.82,-0.43,0.84,-0.36,0.3,-1.45,0.14,13 - 15日龄
75%,3.79,6.1,1.67,0.27,-0.58,1.08,1.64,6.02,3.72,5.44,3.39,2.72,13 - 15日龄
max,27.18,17.31,29.46,29.46,29.46,20.41,20.23,18.3,26.68,26.68,17.74,28.46,13 - 15日龄
count,758.0,758.0,758.0,755.0,752.0,747.0,747.0,755.0,752.0,749.0,747.0,747.0,16 - 18日龄
mean,-5.54,-5.16,-0.38,0.07,-2.05,-5.52,-6.03,-0.42,2.1,1.94,-0.11,-2.02,16 - 18日龄
std,11.71,8.22,8.96,8.75,9.43,9.09,8.45,5.75,6.07,6.24,6.62,8.24,16 - 18日龄
min,-43.52,-34.94,-27.7,-26.7,-27.29,-28.08,-32.48,-19.8,-19.8,-15.26,-17.07,-27.99,16 - 18日龄
25%,-12.3,-11.04,-6.29,-5.93,-8.64,-11.72,-11.51,-4.02,-1.53,-2.26,-4.44,-6.69,16 - 18日龄
50%,-4.52,-4.6,-0.78,-0.61,-2.23,-5.78,-6.01,-0.34,2.53,2.38,-0.52,-2.36,16 - 18日龄
75%,1.45,-0.11,5.31,5.76,4.4,0.4,-0.5,3.24,6.09,6.18,3.44,2.81,16 - 18日龄
max,74.29,75.81,36.17,33.85,28.24,29.46,26.83,19.33,20.74,20.74,26.68,26.68,16 - 18日龄
count,881.0,881.0,881.0,879.0,875.0,870.0,864.0,879.0,875.0,873.0,867.0,862.0,19 - 21日龄
mean,-10.68,2.41,-13.08,-10.18,-5.27,0.13,-3.83,-2.92,-4.91,-5.16,2.15,1.33,19 - 21日龄
std,13.24,8.57,12.44,12.57,11.85,8.95,9.26,10.11,9.17,8.21,6.09,6.6,19 - 21日龄
min,-48.8,-83.91,-48.8,-43.52,-43.52,-29.25,-28.08,-83.91,-83.91,-34.94,-19.8,-17.07,19 - 21日龄
