Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-2.67, 6.50)",372,0.4781491002570694,264,108,0.2903225806451613,-0.10119601198158613,0.005008897172529209,6.243126159238268e-05,water_per_shift_diff_前3天,0.000947623204832,13 - 15日龄
"[6.50, 9.22)",59,0.07583547557840617,41,18,0.3050847457627119,-0.1718135791955396,0.002324841690321939,9.748255909150364e-05,water_per_shift_diff_前3天,0.0010196713532138,13 - 15日龄
"[9.22, inf)",75,0.09640102827763496,45,30,0.4,-0.5895487798955181,0.03751404459596732,0.0033183260941078,water_per_shift_diff_前3天,0.0010704883326642,13 - 15日龄
,778,1.0,568,210,0.2699228791773779,,0.10114565838355635,0.012801083043005687,water_per_shift_diff_前3天,0.0009138334726442735,13 - 15日龄
"[-inf, -11.61)",59,0.0811554332874828,32,27,0.4576271186440678,-0.8762125083067446,0.0730564863537753,0.0055942071352701,water_per_shift_diff_前5天,0.0012547906427903,13 - 15日龄
"[-11.61, -6.96)",128,0.17606602475928473,90,38,0.296875,-0.18388803449826266,0.0062102585557624115,8.191575743378247e-05,water_per_shift_diff_前5天,0.0010055972553807,13 - 15日龄
"[-6.96, 4.23)",385,0.5295735900962861,296,89,0.23116883116883116,0.1556115394897785,0.012337879185761437,0.0042898137590309,water_per_shift_diff_前5天,0.0008492443682627455,13 - 15日龄
"[4.23, 6.37)",54,0.07427785419532325,49,5,0.09259259259259259,1.2362708405743843,0.07989158054930351,0.0095623746696905,water_per_shift_diff_前5天,0.0006167905582031,13 - 15日龄
"[6.37, inf)",101,0.13892709766162312,71,30,0.297029702970297,-0.18462904972298183,0.004940654632051231,6.61292539217307e-05,water_per_shift_diff_前5天,0.0009360872677495,13 - 15日龄
,727,1.0,538,189,0.25997248968363135,,0.1764368592766539,0.01959444057534701,water_per_shift_diff_前5天,0.0009044837449521063,13 - 15日龄
"[-inf, -0.02)",242,0.355359765051395,182,60,0.24793388429752067,0.0012362147382603383,5.429012580193101e-07,0.0011541777174326,water_per_shift_diff_前7天,0.0008284440662154999,13 - 15日龄
"[-0.02, 0.05)",85,0.12481644640234948,71,14,0.16470588235294117,0.5151966373096225,0.028764272314658678,0.0050739482890657,water_per_shift_diff_前7天,0.0007865902216198001,13 - 15日龄
"[0.05, 0.17)",46,0.06754772393538913,42,4,0.08695652173913043,1.2429493470470434,0.07254176916821803,0.0087500958316667,water_per_shift_diff_前7天,0.0007590237712424,13 - 15日龄
"[0.17, 4.63)",178,0.26138032305433184,131,47,0.2640449438202247,-0.0833761886253413,0.001854881230396887,0.000249237447281,water_per_shift_diff_前7天,0.0009585836710801,13 - 15日龄
"[4.63, 10.14)",88,0.12922173274596183,60,28,0.3181818181818182,-0.34628585806953766,0.016792430894736737,0.000370483118628,water_per_shift_diff_前7天,0.0010363564583559,13 - 15日龄
