index,W3_0-2天_鸡舍温度-平均_MEAN,W3_3-5天_鸡舍温度-平均_MEAN,W3_6-8天_鸡舍温度-平均_MEAN,W3_9-11天_鸡舍温度-平均_MEAN,W3_12-14天_鸡舍温度-平均_MEAN,W3_15-17天_鸡舍温度-平均_MEAN,W3_18-20天_鸡舍温度-平均_MEAN,W3_21-23天_鸡舍温度-平均_MEAN
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,34.03,32.58,31.36,30.86,30.68,30.23,29.9,29.46
std,0.35,0.46,0.77,0.83,0.74,0.62,0.6,0.58
min,33.4,31.5,29.8,28.8,29.3,28.8,27.0,27.9
25%,33.8,32.3,31.0,30.4,30.1,29.8,29.5,29.2
50%,34.0,32.6,31.4,31.1,30.7,30.25,29.9,29.5
75%,34.38,32.9,31.9,31.5,31.2,30.7,30.3,29.8
max,34.8,33.5,32.8,32.0,32.2,31.5,31.1,30.8
