index,W3_0-2天_外部-平均_MEAN,W3_3-5天_外部-平均_MEAN,W3_6-8天_外部-平均_MEAN,W3_9-11天_外部-平均_MEAN,W3_12-14天_外部-平均_MEAN,W3_15-17天_外部-平均_MEAN,W3_18-20天_外部-平均_MEAN,W3_21-23天_外部-平均_MEAN
count,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0
mean,10.07,9.02,7.75,7.15,6.47,5.97,5.26,4.66
std,6.22,5.83,5.09,4.75,4.45,4.28,3.72,3.16
min,-2.9,-2.3,-0.9,-2.1,-0.9,-1.3,-2.8,-3.3
25%,4.6,4.6,4.2,3.68,3.3,2.9,2.88,2.2
50%,9.9,8.1,6.7,6.05,5.35,5.75,4.7,4.2
75%,15.0,13.22,10.2,9.52,9.05,7.9,7.4,6.25
max,34.6,32.6,31.2,31.0,29.1,19.1,17.9,15.9
