Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Unnamed: 11
"[-inf, 10.15)",210,0.5198019801980198,152,58,0.2761904761904762,-0.41976565825036066,0.10303616012245598,0.012785786,W3_0-2天_外部-平均_MEAN,0.100247549,
"[10.15, 12.55)",53,0.1311881188118812,45,8,0.1509433962264151,0.344017779540266,0.013951108974208702,0.00173534,W3_0-2天_外部-平均_MEAN,0.085784116,
"[12.55, 15.05)",42,0.10396039603960396,37,5,0.11904761904761904,0.6182768316599064,0.03265904450384095,0.004018575,W3_0-2天_外部-平均_MEAN,0.075874158,
"[15.05, 16.05)",24,0.0594059405940594,23,1,0.041666666666666664,1.7522910473789322,0.10314291988547016,0.011461233,W3_0-2天_外部-平均_MEAN,0.068712281,
"[16.05, inf)",75,0.18564356435643564,66,9,0.12,0.6092269961399884,0.056794123135169204,0.006991474,W3_0-2天_外部-平均_MEAN,0.078297616,
,404,1.0,323,81,0.2004950495049505,,0.30958335662114495,0.036992408,W3_0-2天_外部-平均_MEAN,0.08986800499504952,
"[-inf, 1.25)",32,0.07920792079207921,29,3,0.09375,0.8854803727681466,0.046705764416161845,0.005654664,W3_3-5天_外部-平均_MEAN,0.082962474,
"[1.25, 6.45)",139,0.34405940594059403,101,38,0.2733812949640288,-0.40566881143534406,0.06346376352883319,0.009350855,W3_3-5天_外部-平均_MEAN,0.09757985227338128,
"[6.45, 9.75)",58,0.14356435643564355,35,23,0.39655172413793105,-0.9633493229899537,0.16915593738546217,0.021057244,W3_3-5天_外部-平均_MEAN,0.1093230521724138,
"[9.75, 11.25)",47,0.11633663366336634,40,7,0.14893617021276595,0.3597661365084053,0.013462181234633979,0.001673756,W3_3-5天_外部-平均_MEAN,0.091851508,
"[11.25, inf)",128,0.31683168316831684,118,10,0.078125,1.0848963629214015,0.26240202517167865,0.031314488,W3_3-5天_外部-平均_MEAN,0.07367591775,
,404,1.0,323,81,0.2004950495049505,,0.5551896717367699,0.069051007,W3_3-5天_外部-平均_MEAN,0.08986800497029704,
"[-inf, 6.95)",211,0.5222772277227723,147,64,0.3033175355450237,-0.5516536651311533,0.18481230649675337,0.024716197,W3_6-8天_外部-平均_MEAN,0.10460718644549763,
"[6.95, 9.35)",65,0.1608910891089109,57,8,0.12307692307692308,0.5804065576044967,0.045100582181322554,0.005559751,W3_6-8天_外部-平均_MEAN,0.073653995,
"[9.35, 17.65)",100,0.24752475247524752,97,3,0.03,2.0928955212850555,0.5510019627187809,0.0585419,W3_6-8天_外部-平均_MEAN,0.068182669,
"[17.65, inf)",28,0.06930693069306931,22,6,0.21428571428571427,-0.08392018441995697,0.000500384083228731,6.25e-05,W3_6-8天_外部-平均_MEAN,0.093885043,
,404,1.0,323,81,0.2004950495049505,,0.7814152354800855,0.088880348,W3_6-8天_外部-平均_MEAN,0.08986800524504951,
"[-inf, 5.95)",197,0.4876237623762376,132,65,0.3299492385786802,-0.6747885158594842,0.26573199093759375,0.032600306,W3_9-11天_外部-平均_MEAN,0.107699665,
"[5.95, 8.15)",59,0.14603960396039603,54,5,0.0847457627118644,0.9963429655799563,0.1050686175910675,0.012615948,W3_9-11天_外部-平均_MEAN,0.077403425,
"[8.15, 15.95)",125,0.3094059405940594,121,4,0.032,2.026293015926633,0.6590118592103245,0.070879347,W3_9-11天_外部-平均_MEAN,0.064799739496,
