index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
count,836.0,836.0,836.0,818.0,800.0,756.0,705.0,818.0,800.0,778.0,727.0,681.0,13 - 15日龄
mean,1.72,4.07,-2.35,-4.21,-3.84,-1.69,0.72,2.26,-0.09,0.08,-1.69,1.35,13 - 15日龄
std,12.79,8.2,11.7,10.64,9.88,8.53,6.06,8.23,6.67,7.03,7.65,5.02,13 - 15日龄
min,-35.29,-36.02,-38.36,-38.36,-34.14,-25.13,-28.15,-19.75,-19.75,-27.81,-27.81,-17.52,13 - 15日龄
25%,-6.83,-1.35,-9.72,-11.1,-10.48,-7.02,-1.5,-3.28,-4.6,-4.77,-7.25,-0.67,13 - 15日龄
50%,1.58,4.41,-1.98,-3.21,-3.46,-0.94,0.05,1.75,-0.1,-0.03,-1.14,0.08,13 - 15日龄
75%,10.26,9.99,5.09,3.05,2.37,2.54,2.17,7.91,3.98,4.38,2.66,2.56,13 - 15日龄
max,42.91,39.97,34.89,30.16,30.16,24.87,24.87,39.97,23.73,23.73,26.52,26.52,13 - 15日龄
count,793.0,793.0,793.0,791.0,785.0,756.0,718.0,791.0,785.0,773.0,739.0,698.0,16 - 18日龄
mean,4.85,-3.33,8.18,6.02,1.0,-4.41,-4.01,2.41,5.26,3.86,-0.11,-2.12,16 - 18日龄
std,13.35,8.02,12.32,12.33,12.93,10.72,8.96,7.4,7.45,8.29,6.84,7.61,16 - 18日龄
min,-36.74,-29.42,-29.26,-31.92,-38.36,-38.36,-25.97,-36.02,-36.02,-36.02,-20.95,-27.81,16 - 18日龄
25%,-4.54,-8.74,0.15,-1.8,-7.48,-11.62,-9.95,-1.84,0.75,-1.57,-4.72,-7.56,16 - 18日龄
50%,4.78,-2.34,8.5,6.26,1.17,-3.88,-4.13,2.5,5.02,4.25,-0.02,-2.84,16 - 18日龄
75%,14.05,2.55,16.51,14.55,9.86,2.79,1.29,6.64,10.1,9.86,4.17,2.8,16 - 18日龄
max,46.12,23.62,46.12,42.91,42.91,30.16,27.73,87.7,39.97,39.97,23.73,23.5,16 - 18日龄
count,768.0,768.0,768.0,767.0,766.0,763.0,743.0,767.0,766.0,766.0,757.0,725.0,19 - 21日龄
mean,-0.29,1.81,-2.1,0.53,4.32,5.62,-2.55,-2.44,-3.7,-3.17,5.07,2.23,19 - 21日龄
