Age_interval,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总,IV汇总
,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天
10 - 12日龄,0.3733332777655848,0.4372239054827044,0.2638046866505965,0.4852443948415335,0.3030420274740395,0.2522456978579059,0.1883388497598056,0.3190108335788523,0.3254610179722667,0.4982601614156896,0.4631329747090411,0.253026754940594
13 - 15日龄,0.162935010976029,0.1925226718882855,0.1128742317735183,0.182800830021328,0.1341067557598324,0.0779740407281687,0.078428910807229,0.1228438929146387,0.1394895312486221,0.1411589347429029,0.072685125032584,0.164395889857403
16 - 18日龄,0.078480852283979,0.2036888037074045,0.1045535379435999,0.2068556096953692,0.1054509104488879,0.1630926330843892,0.0513537264299126,0.1638264878462641,0.1116170548443153,0.0615572897082652,0.0909580101069026,0.1766820850938851
19 - 21日龄,0.1878876962788404,0.1551656220026815,0.0829768700999061,0.1560251025870381,0.1498587855673056,0.0586943430470096,0.1872297846324962,0.1889698085912457,0.1146511195223303,0.277568908379035,0.179757679598535,0.0843333303598962
22 - 24日龄,0.1563344452583611,0.1277239261749536,0.0655032778916485,0.1662072815743066,0.0699336839640188,0.4001694072485302,0.1442642385673766,0.1107704094991094,0.1127692093222612,0.1310014908276181,0.1491167404871674,0.1428499854385591
25 - 27日龄,0.0635894798025139,0.1391152302925582,0.2101993699243637,0.219994530520219,0.179378805934464,0.1579166816186725,0.115553508970947,0.108618412000699,0.0791360276260838,0.1339413263777821,0.1144745619067548,0.1352938205741341
28 - 30日龄,0.2634873267496901,0.2054736459946041,0.234094178143639,0.2553284833069723,0.111516282178731,0.1034420590870369,0.0855961861685855,0.1288203183084028,0.1356350497669077,0.1005623976200525,0.156136639609754,0.1286943135725989
31 - 33日龄,0.7216454747860699,0.5849070036414807,0.4849352153829507,0.4401686012188281,0.2780464489920393,0.1370188842203411,0.2142629678243873,0.1014298011848081,0.0943738295165022,0.0858718277303923,0.166770919003456,0.0922627528416327
34 - 35日龄,1.3192975558225268,0.8662464133614264,0.8065459591411402,0.497911621085819,0.3388109910935807,0.1005988291135719,0.3701848885002908,0.3970840786093815,0.2233050648994149,0.1501324873717218,0.1223466829733847,0.0693750019774056
