index,water_per_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天
count,13154.0,12925.0,12521.0,12100.0,11241.0,10383.0
mean,-0.0,-0.05,-0.11,-0.18,-0.32,-0.56
std,24.21,20.57,18.74,17.09,14.68,13.3
min,-268.91,-153.8,-153.8,-141.15,-141.15,-113.48
25%,-8.1,-7.96,-7.88,-7.8,-7.39,-7.23
50%,1.06,0.93,0.91,0.84,0.65,0.52
75%,8.85,8.08,7.51,6.96,6.12,5.46
max,120.34,106.27,97.27,88.63,77.9,71.65
