index,W3_0-2天_湿度内部平均_MEAN,W3_3-5天_湿度内部平均_MEAN,W3_6-8天_湿度内部平均_MEAN,W3_9-11天_湿度内部平均_MEAN,W3_12-14天_湿度内部平均_MEAN,W3_15-17天_湿度内部平均_MEAN,W3_18-20天_湿度内部平均_MEAN,W3_21-23天_湿度内部平均_MEAN
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,67.64,73.91,76.98,78.7,78.39,79.21,80.18,81.26
std,14.77,13.76,11.86,11.96,13.31,12.78,12.34,12.81
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,60.9,69.98,72.8,75.72,76.62,76.93,78.43,79.1
50%,69.6,75.25,79.2,80.8,80.65,81.3,82.4,84.5
75%,76.28,81.0,83.98,84.88,84.82,85.75,86.75,87.88
max,99.0,99.4,100.0,100.0,100.0,97.9,94.8,96.5
