Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,
"(-inf, 5.95)",197,0.487623762,132,65,0.329949239,-0.674788516,0.265731991,0.032600306,W3_9-11天_外部-平均_MEAN,0.107699665,
"[5.95, 8.15)",59,0.146039604,54,5,0.084745763,0.996342966,0.105068618,0.012615948,W3_9-11天_外部-平均_MEAN,0.077403425,
"[8.15, 10.70)",71,0.175742574,69,2,0.028169014,2.157756155,0.407666884,0.042921093,W3_9-11天_外部-平均_MEAN,0.063527185,
"[10.70, 15.95)",54,0.133663366,52,2,0.037037037,1.874893369,0.255546755,0.027958254,W3_9-11天_外部-平均_MEAN,0.066472913,
"[15.95, inf)",23,0.056930693,16,7,0.304347826,-0.556524595,0.020526936,0.002533259,W3_9-11天_外部-平均_MEAN,0.105350897,
Special,0,0,0,0,0,0,0,0,W3_9-11天_外部-平均_MEAN,,
Missing,0,0,0,0,0,0,0,0,W3_9-11天_外部-平均_MEAN,,
,404,1,323,81,0.20049505,,1.054541184,0.11862886,W3_9-11天_外部-平均_MEAN,,
"(-inf, 2.15)",54,0.133663366,40,14,0.259259259,-0.333381044,0.016335837,0.002032576,W3_12-14天_外部-平均_MEAN,0.098866245,
"[2.15, 3.15)",42,0.103960396,21,21,0.5,-1.383203169,0.268678611,0.03113998,W3_12-14天_外部-平均_MEAN,0.115316291,
"[3.15, 4.55)",64,0.158415842,47,17,0.265625,-0.366268911,0.023575158,0.002930532,W3_12-14天_外部-平均_MEAN,0.102329316,
"[4.55, 4.95)",21,0.051980198,17,4,0.19047619,0.063715814,0.000207004,2.59E-05,W3_12-14天_外部-平均_MEAN,0.102084138,
"[4.95, 6.25)",59,0.146039604,48,11,0.186440678,0.09010257,0.001153704,0.000144164,W3_12-14天_外部-平均_MEAN,0.089333781,
"[6.25, 8.60)",51,0.126237624,44,7,0.137254902,0.455076316,0.022664237,0.002808834,W3_12-14天_外部-平均_MEAN,0.077109679,
"[8.60, inf)",113,0.27970297,106,7,0.061946903,1.334325777,0.322578089,0.037574249,W3_12-14天_外部-平均_MEAN,0.072818432,
Special,0,0,0,0,0,0,0,0,W3_12-14天_外部-平均_MEAN,,
Missing,0,0,0,0,0,0,0,0,W3_12-14天_外部-平均_MEAN,,
,404,1,323,81,0.20049505,,0.65519264,0.076656206,W3_12-14天_外部-平均_MEAN,,
"(-inf, 2.75)",93,0.23019802,59,34,0.365591398,-0.832026249,0.197265559,0.023970683,W3_15-17天_外部-平均_MEAN,0.11431288,
"[2.75, 4.05)",54,0.133663366,35,19,0.351851852,-0.772294086,0.097470285,0.01188975,W3_15-17天_外部-平均_MEAN,0.104692486,
"[4.05, 5.25)",42,0.103960396,30,12,0.285714286,-0.466912437,0.025805733,0.003196731,W3_15-17天_外部-平均_MEAN,0.100109118,
"[5.25, 7.25)",89,0.22029703,80,9,0.101123596,0.801598889,0.109471881,0.013328999,W3_15-17天_外部-平均_MEAN,0.074813334,
"[7.25, 9.35)",63,0.155940594,62,1,0.015873016,2.743931216,0.492823177,0.047498576,W3_15-17天_外部-平均_MEAN,0.070923561,
"[9.35, inf)",63,0.155940594,57,6,0.095238095,0.86808863,0.08888925,0.010774913,W3_15-17天_外部-平均_MEAN,0.074460761,
Special,0,0,0,0,0,0,0,0,W3_15-17天_外部-平均_MEAN,,
Missing,0,0,0,0,0,0,0,0,W3_15-17天_外部-平均_MEAN,,
,404,1,323,81,0.20049505,,1.011725885,0.110659653,W3_15-17天_外部-平均_MEAN,,
"(-inf, 3.65)",141,0.349009901,97,44,0.312056738,-0.592681824,0.14396258,0.017736478,W3_18-20天_外部-平均_MEAN,0.108051728,
"[3.65, 4.55)",55,0.136138614,41,14,0.254545455,-0.308688431,0.014170195,0.001764275,W3_18-20天_外部-平均_MEAN,0.091385696,
"[4.55, 6.25)",78,0.193069307,66,12,0.153846154,0.321544924,0.018066393,0.00224862,W3_18-20天_外部-平均_MEAN,0.0806375,
"[6.25, 10.15)",91,0.225247525,82,9,0.098901099,0.826291501,0.117960431,0.014339399,W3_18-20天_外部-平均_MEAN,0.077711443,
"[10.15, inf)",39,0.096534653,37,2,0.051282051,1.534567564,0.13789582,0.015722709,W3_18-20天_外部-平均_MEAN,0.068812843,
Special,0,0,0,0,0,0,0,0,W3_18-20天_外部-平均_MEAN,,
Missing,0,0,0,0,0,0,0,0,W3_18-20天_外部-平均_MEAN,,
,404,1,323,81,0.20049505,,0.432055419,0.051811482,W3_18-20天_外部-平均_MEAN,,
"(-inf, 1.95)",87,0.215346535,64,23,0.264367816,-0.359814301,0.030875018,0.003838692,W3_21-23天_外部-平均_MEAN,0.096700258,
"[1.95, 4.65)",137,0.339108911,104,33,0.240875912,-0.235319831,0.020102428,0.002507022,W3_21-23天_外部-平均_MEAN,0.096499221,
"[4.65, 6.45)",81,0.20049505,63,18,0.222222222,-0.1304402,0.003544815,0.000442788,W3_21-23天_外部-平均_MEAN,0.095717444,0.096348947
"[6.45, 8.65)",43,0.106435644,39,4,0.093023256,0.894064116,0.0638007,0.007719649,W3_21-23天_外部-平均_MEAN,0.073011948,
"[8.65, inf)",56,0.138613861,53,3,0.053571429,1.488476456,0.189110413,0.0216729,W3_21-23天_外部-平均_MEAN,0.067513065,
Special,0,0,0,0,0,0,0,0,W3_21-23天_外部-平均_MEAN,,
Missing,0,0,0,0,0,0,0,0,W3_21-23天_外部-平均_MEAN,,
,404,1,323,81,0.20049505,,0.307433374,0.03618105,W3_21-23天_外部-平均_MEAN,,
