Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -17.72)",130,0.2148760330578512,105,25,0.1923076923076923,-0.0360063724906449,0.0002817248009466,3.521369792595041e-05,water_per_diff_前2天,0.0008167145346521,28 - 30日龄
"[-17.72, -10.26)",87,0.1438016528925619,62,25,0.2873563218390804,-0.5628323376030767,0.0535944023899325,0.0066122522836127,water_per_diff_前2天,0.0009352340263207,28 - 30日龄
"[-10.26, 14.45)",323,0.5338842975206611,263,60,0.1857585139318885,0.0067185721756962,2.404841828483228e-05,3.006046631832136e-06,water_per_diff_前2天,0.0008036671414805,28 - 30日龄
"[14.45, 19.94)",31,0.0512396694214876,29,2,0.064516129032258,1.2030577516465613,0.0496188830945673,0.0058534524317238,water_per_diff_前2天,0.0007054087082353,28 - 30日龄
"[19.94, inf)",34,0.056198347107438,33,1,0.0294117647058823,2.0254166636865127,0.1179270764147284,0.0126461654057543,water_per_diff_前2天,0.0005856219290151,28 - 30日龄
,605,1.0,492,113,0.1867768595041322,,0.2214461351184597,0.0251500898656487,water_per_diff_前2天,0.0008081017389003,28 - 30日龄
"[-inf, 1.50)",273,0.4588235294117647,231,42,0.1538461538461538,0.2210795670933581,0.0208854923739554,0.0026053828235885,water_per_diff_前7天,0.0007664524283042,28 - 30日龄
"[1.50, 6.92)",103,0.173109243697479,74,29,0.2815533980582524,-0.546899261927371,0.0607381092206124,0.0074990381724547,water_per_diff_前7天,0.0010185671905097,28 - 30日龄
"[6.92, 23.64)",188,0.3159663865546218,150,38,0.202127659574468,-0.1106193907751969,0.0040017886447259,0.0004999686923376,water_per_diff_前7天,0.0007857014512205,28 - 30日龄
"[23.64, inf)",31,0.0521008403361344,30,1,0.032258064516129,1.9175288565170885,0.10117795184809,0.0110079516804156,water_per_diff_前7天,0.0005499378311546,28 - 30日龄
,595,1.0,485,110,0.1848739495798319,,0.1868033420873839,0.0216123413687965,water_per_diff_前7天,0.0008048972758736,28 - 30日龄
"[-inf, -19.04)",20,0.05934718100890208,19,1,0.05,1.0997571084840432,0.04789768371777956,0.005702630286583389,water_per_shift_diff_前5天,0.0006701205154564,34 - 35日龄
"[-19.04, -6.26)",51,0.1513353115727003,43,8,0.1568627450980392,-0.16292329666867092,0.004259909893473391,0.000531900584649682,water_per_shift_diff_前5天,0.0007567983918139,34 - 35日龄
"[-6.26, 0.04)",51,0.1513353115727003,41,10,0.19607843137254902,-0.43369489697213537,0.033176720043289004,0.004114891311333389,water_per_shift_diff_前5天,0.0007795422453754,34 - 35日龄
"[0.04,  3.00)",46,0.13649851632047477,32,14,0.30434782608695654,-1.0180032974979296,0.1978817107492614,0.023719582880519348,water_per_shift_diff_前5天,0.00089098495690445,34 - 35日龄
"[3.00, inf)",169,0.5014836795252225,156,13,0.07692307692307693,0.6402247791056028,0.1622801938970051,0.01994553110743682,water_per_shift_diff_前5天,0.0007323990938738,34 - 35日龄
,337,1.0,291,46,0.13649851632047477,,0.44549621830080843,0.054014536170522626,water_per_shift_diff_前5天,0.000761176669697505,34 - 35日龄
