index,W3_0-2天_鸡舍温度-平均_MEAN,W3_3-5天_鸡舍温度-平均_MEAN,W3_6-8天_鸡舍温度-平均_MEAN,W3_9-11天_鸡舍温度-平均_MEAN,W3_12-14天_鸡舍温度-平均_MEAN,W3_15-17天_鸡舍温度-平均_MEAN,W3_18-20天_鸡舍温度-平均_MEAN,W3_21-23天_鸡舍温度-平均_MEAN
count,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0
mean,33.63,31.68,29.75,28.64,27.53,26.44,25.37,24.52
std,0.46,0.4,0.51,0.51,0.54,0.56,0.64,0.85
min,31.6,30.6,28.6,27.6,26.2,25.2,23.9,22.7
25%,33.5,31.4,29.4,28.3,27.2,26.0,24.9,23.9
50%,33.7,31.7,29.7,28.6,27.5,26.4,25.3,24.6
75%,33.9,31.92,30.1,29.0,27.9,26.8,25.9,25.2
max,34.6,32.8,31.1,30.3,29.0,27.8,27.0,26.7
