Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 0.55)",350,0.866336634,283,67,0.191428571,0.05755111,0.002820033,0.00271786,W3_6-8天_探头温度标准差_MEAN,316.819407
"[0.55, inf)",54,0.133663366,40,14,0.259259259,-0.333381044,0.016335837,0.002032576,W3_6-8天_探头温度标准差_MEAN,331.2355844
,404,1,323,81,0.20049505,,0.01915587,0.004750435,W3_6-8天_探头温度标准差_MEAN,318.7463218
"[-inf, 62.65)",58,0.143564356,46,12,0.206896552,-0.039468422,0.000226284,2.83E-05,W3_9-11天_湿度内部平均_MEAN,316.8293042
"[62.65, 64.15)",24,0.059405941,23,1,0.041666667,1.752291047,0.10314292,0.011461233,W3_9-11天_湿度内部平均_MEAN,310.1160435
"[64.15, 84.65)",250,0.618811881,205,45,0.18,0.133144321,0.010534294,0.003453219,W3_9-11天_湿度内部平均_MEAN,316.1676006
"[84.65, inf)",72,0.178217822,49,23,0.319444444,-0.626877086,0.082903135,0.010984213,W3_9-11天_湿度内部平均_MEAN,332.1212386
,404,1,323,81,0.20049505,,0.196806633,0.025926948,W3_9-11天_湿度内部平均_MEAN,318.7463218
"[-inf, 27.95)",32,0.079207921,13,19,0.59375,-1.76269279,0.342526856,0.038012445,W3_9-11天_鸡舍温度-平均_MEAN,373.862493
"[27.95, 28.05)",22,0.054455446,14,8,0.363636364,-0.823587381,0.045644678,0.005549609,W3_9-11天_鸡舍温度-平均_MEAN,347.2392011
"[28.05, 28.35)",67,0.165841584,47,20,0.298507463,-0.52878784,0.053620538,0.006625553,W3_9-11天_鸡舍温度-平均_MEAN,337.9057642
"[28.35, 28.75)",138,0.341584158,117,21,0.152173913,0.334448329,0.034438092,0.00428481,W3_9-11天_鸡舍温度-平均_MEAN,317.1964021
"[28.75, 29.25)",97,0.24009901,86,11,0.113402062,0.673248855,0.087826256,0.010775534,W3_9-11天_鸡舍温度-平均_MEAN,299.6521492
"[29.25, inf)",48,0.118811881,46,2,0.041666667,1.752291047,0.20628584,0.022922466,W3_9-11天_鸡舍温度-平均_MEAN,285.2417426
,404,1,323,81,0.20049505,,0.77034226,0.088170417,W3_9-11天_鸡舍温度-平均_MEAN,318.7463218
