,Harveststatus_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_mean,鸡舍温度-最高_mean,eef_high_flg,eef
26178,3,G06_66_H1,0,34.59166666666667,33.81666666666667,35.166666666666664,0,339.7318672460235
26179,3,G06_66_H1,1,33.93333333333333,33.25416666666667,34.545833333333334,0,339.7318672460235
26180,3,G06_66_H1,2,33.325,32.59583333333333,33.94583333333333,0,339.7318672460235
26181,3,G06_66_H1,3,32.50833333333333,31.8,33.1,0,339.7318672460235
26182,3,G06_66_H1,4,31.84583333333333,31.125,32.425000000000004,0,339.7318672460235
26183,3,G06_66_H1,5,31.241666666666664,30.566666666666663,31.77916666666667,0,339.7318672460235
26184,3,G06_66_H1,6,30.575,30.03333333333333,31.10833333333333,0,339.7318672460235
26185,3,G06_66_H1,7,30.066666666666663,29.45833333333333,30.67083333333333,0,339.7318672460235
26186,3,G06_66_H1,8,29.58333333333333,29.241666666666664,30.0875,0,339.7318672460235
26187,3,G06_66_H1,9,29.35,28.83333333333333,30.20833333333333,0,339.7318672460235
26188,3,G06_66_H1,10,29.308333333333334,28.525,29.79583333333333,0,339.7318672460235
26189,3,G06_66_H1,11,28.829166666666666,28.129166666666663,29.55,0,339.7318672460235
26190,3,G06_66_H1,12,28.6625,27.945833333333336,29.241666666666664,0,339.7318672460235
26191,3,G06_66_H1,13,27.95833333333333,27.2125,28.85,0,339.7318672460235
26192,3,G06_66_H1,14,27.3375,26.525,28.383333333333336,0,339.7318672460235
26193,3,G06_66_H1,15,27.004166666666663,26.004166666666663,27.916666666666668,0,339.7318672460235
26194,3,G06_66_H1,16,26.7,25.85,27.5625,0,339.7318672460235
26195,3,G06_66_H1,17,26.066666666666663,25.370833333333334,27.004166666666663,0,339.7318672460235
26196,3,G06_66_H1,18,25.525,24.8875,26.445833333333336,0,339.7318672460235
26197,3,G06_66_H1,19,25.53333333333333,24.475,26.22083333333333,0,339.7318672460235
26198,3,G06_66_H1,20,25.354166666666668,24.23333333333333,25.89583333333333,0,339.7318672460235
26199,3,G06_66_H1,21,25.2625,24.2625,25.641666666666666,0,339.7318672460235
26200,3,G06_66_H1,22,25.23333333333333,24.09583333333333,25.65416666666667,0,339.7318672460235
26201,3,G06_66_H1,23,24.291666666666668,23.375,24.7,0,339.7318672460235
26202,3,G06_66_H1,24,24.35833333333333,23.84583333333333,24.995833333333334,0,339.7318672460235
26203,3,G06_66_H1,25,24.1625,23.8,24.995833333333334,0,339.7318672460235
26204,3,G06_66_H1,26,23.791666666666668,23.433333333333334,24.508333333333336,0,339.7318672460235
26205,3,G06_66_H1,27,23.4875,22.84166666666667,23.95,0,339.7318672460235
26206,3,G06_66_H1,28,24.116666666666664,23.42083333333333,24.54583333333333,0,339.7318672460235
26207,3,G06_66_H1,29,23.379166666666663,22.75,23.979166666666668,0,339.7318672460235
26208,3,G06_66_H1,30,24.04583333333333,23.541666666666668,24.90416666666667,0,339.7318672460235
26209,3,G06_66_H1,31,24.308333333333334,23.90416666666667,25.21666666666667,0,339.7318672460235
26210,3,G06_66_H1,32,24.616666666666664,23.77083333333333,25.079166666666666,0,339.7318672460235
26211,3,G06_66_H1,33,24.695833333333336,23.97083333333333,25.17083333333333,0,339.7318672460235
26212,3,G06_66_H1,34,25.0,24.45833333333333,25.566666666666663,0,339.7318672460235
26213,3,G06_66_H1,35,25.495833333333334,25.03333333333333,26.1875,0,339.7318672460235
26214,3,G06_66_H10,-2,33.0125,29.825,33.8625,0,304.8612732382188
26215,3,G06_66_H10,-1,33.62083333333333,32.63333333333333,34.291666666666664,0,304.8612732382188
26216,3,G06_66_H10,0,34.612500000000004,34.050000000000004,35.166666666666664,0,304.8612732382188
26217,3,G06_66_H10,1,34.4,33.71666666666666,34.958333333333336,0,304.8612732382188
26218,3,G06_66_H10,2,33.87083333333333,33.09583333333334,34.50416666666667,0,304.8612732382188
26219,3,G06_66_H10,3,33.108333333333334,32.475,33.704166666666666,0,304.8612732382188
26220,3,G06_66_H10,4,32.266666666666666,31.75,33.112500000000004,0,304.8612732382188
26221,3,G06_66_H10,5,31.666666666666668,30.85833333333333,32.36666666666667,0,304.8612732382188
26222,3,G06_66_H10,6,30.825,30.070833333333336,31.72083333333333,0,304.8612732382188
26223,3,G06_66_H10,7,30.320833333333336,29.604166666666668,31.17083333333333,0,304.8612732382188
26224,3,G06_66_H10,8,30.175,29.4,30.9125,0,304.8612732382188
26225,3,G06_66_H10,9,29.9125,29.195833333333336,30.570833333333336,0,304.8612732382188
26226,3,G06_66_H10,10,29.558333333333334,28.9,30.23333333333333,0,304.8612732382188
26227,3,G06_66_H10,11,29.21666666666667,28.695833333333336,29.929166666666664,0,304.8612732382188
26228,3,G06_66_H10,12,28.64583333333333,28.0,29.541666666666668,0,304.8612732382188
26229,3,G06_66_H10,13,28.441666666666663,27.575,29.1125,0,304.8612732382188
26230,3,G06_66_H10,14,28.195833333333336,27.2375,28.875,0,304.8612732382188
26231,3,G06_66_H10,15,27.7375,27.02083333333333,28.5125,0,304.8612732382188
26232,3,G06_66_H10,16,27.229166666666668,26.4125,27.933333333333334,0,304.8612732382188
26233,3,G06_66_H10,17,26.383333333333336,25.820833333333336,27.64583333333333,0,304.8612732382188
26234,3,G06_66_H10,18,26.40833333333333,25.370833333333334,27.291666666666668,0,304.8612732382188
26235,3,G06_66_H10,19,26.25,24.97083333333333,26.791666666666668,0,304.8612732382188
26236,3,G06_66_H10,20,25.995833333333334,24.65416666666667,26.4375,0,304.8612732382188
26237,3,G06_66_H10,21,25.8375,24.308333333333334,26.2625,0,304.8612732382188
26238,3,G06_66_H10,22,24.570833333333336,23.3875,25.266666666666666,0,304.8612732382188
26239,3,G06_66_H10,23,24.758333333333336,23.85,25.308333333333334,0,304.8612732382188
26240,3,G06_66_H10,24,24.40416666666667,23.83333333333333,25.175,0,304.8612732382188
26241,3,G06_66_H10,25,23.8125,23.433333333333334,24.5375,0,304.8612732382188
26242,3,G06_66_H10,26,23.40416666666667,22.89583333333333,24.28333333333333,0,304.8612732382188
26243,3,G06_66_H10,27,23.75,23.179166666666664,24.291666666666668,0,304.8612732382188
26244,3,G06_66_H10,28,23.191666666666663,22.354166666666668,23.6625,0,304.8612732382188
26245,3,G06_66_H10,29,23.4125,22.641666666666666,24.15416666666667,0,304.8612732382188
26246,3,G06_66_H10,30,23.7125,23.229166666666668,24.6625,0,304.8612732382188
26247,3,G06_66_H10,31,23.84583333333333,23.4125,24.891666666666666,0,304.8612732382188
26248,3,G06_66_H10,32,24.2625,23.5875,24.758333333333336,0,304.8612732382188
26249,3,G06_66_H10,33,24.59583333333333,23.9125,25.058333333333334,0,304.8612732382188
26250,3,G06_66_H10,34,25.27083333333333,24.67083333333333,25.73333333333333,0,304.8612732382188
26251,3,G06_66_H11,-2,31.6,12.2,31.6,0,289.8772165102448
26252,3,G06_66_H11,-1,32.050000000000004,31.695833333333336,32.416666666666664,0,289.8772165102448
26253,3,G06_66_H11,0,34.0,33.1375,34.454166666666666,0,289.8772165102448
26254,3,G06_66_H11,1,33.40416666666667,33.0125,33.95,0,289.8772165102448
26255,3,G06_66_H11,2,32.625,32.208333333333336,33.170833333333334,0,289.8772165102448
26256,3,G06_66_H11,3,32.1,31.7375,32.608333333333334,0,289.8772165102448
26257,3,G06_66_H11,4,31.75,31.254166666666663,32.108333333333334,0,289.8772165102448
26258,3,G06_66_H11,5,30.9375,30.48333333333333,31.579166666666666,0,289.8772165102448
26259,3,G06_66_H11,6,30.4375,29.85833333333333,30.9375,0,289.8772165102448
