EEF,MORTALITY_RATE,Temp_MEAN_-2,Temp_MEAN_-1,Temp_MEAN_0,Temp_MEAN_1,Temp_MEAN_2,Temp_MEAN_3,Temp_MEAN_4,Temp_MEAN_5,Temp_MEAN_6,Temp_MEAN_7,Temp_MEAN_8,Temp_MEAN_9,Temp_MEAN_10,Temp_MEAN_11,Temp_MEAN_12,Temp_MEAN_13,Temp_MEAN_14,Temp_MEAN_15,Temp_MEAN_16,Temp_MEAN_17,Temp_MEAN_18,Temp_MEAN_19,Temp_MEAN_20,Temp_MEAN_21,Temp_MEAN_22,Temp_MEAN_23,Temp_MEAN_24,Temp_MEAN_25,Temp_MEAN_26,Temp_MEAN_27,Temp_MEAN_28,Temp_MEAN_29,Temp_MEAN_30,Temp_MEAN_31,Temp_MEAN_32,Temp_MEAN_33,Temp_MEAN_34,Temp_MEAN_35,Temp_MEAN_36
451.0846344,0.049084507,33.1,33.54583333,33.82083333,33.76666667,32.8875,31.84583333,30.88333333,30.02916667,29.45833333,29,28.36666667,28.12083333,27.89583333,27.36666667,26.81666667,26.87916667,26.39583333,25.2375,25.53333333,24.13333333,23.75416667,23.375,22.88333333,22.79166667,22.64583333,22.2875,21.8125,21.32916667,21.6,21.28333333,19.68333333,19.4625,19.34166667,18.95,18.51666667,18.54583333,18.8625,17.45833333,16.075
452.5899681,0.039916318,32.61666667,33.37916667,33.75833333,33.45416667,32.61666667,31.83333333,30.74166667,30.20416667,29.4125,28.77916667,28.6125,28.12083333,27.72916667,27.325,26.87083333,26.30833333,25.9625,25.32916667,25.30416667,24.85833333,24.33333333,23.275,23.2,23.0125,22.525,22.49166667,22.34583333,21.9,22.05,21.27083333,19.95,19.66666667,19.35833333,19.26666667,19.22083333,19.0125,18.85833333,17.50833333,16.675
471.1975534,0.046713781,31.77142857,32.69583333,33.80833333,33.45,32.68333333,31.84583333,30.74583333,29.90833333,29.27083333,28.94583333,28.45,28.02083333,27.60833333,27.12916667,26.58333333,26.50416667,25.94166667,25.3125,25.07083333,24.25416667,23.65,23.07083333,22.87916667,22.4875,22.36666667,22.18333333,21.85416667,21.62083333,21.48333333,21.32083333,19.5875,19.2375,19.68333333,18.98333333,19.01666667,18.5375,18.45,18.2875,17.16666667
289.9180029,0.098588235,,30.66428571,32.15833333,32.2625,31.07916667,30.37916667,29.54166667,29.22083333,28.59583333,27.75416667,27.44166667,27.2875,28.4,27.025,27.46666667,27.41666667,27,26.60416667,26.61666667,26.375,26.00416667,25.45833333,24.825,24.04583333,24.44166667,23.9625,23.55,23.03333333,23.8625,23.69583333,23.075,22.5125,22.45416667,21.74583333,21.025,20.93333333,20.69583333,20.6375,20.1375
364.1382066,0.055252918,,,,31.58333333,31.09166667,30.43333333,29.54583333,28.85833333,28.5125,27.83333333,27.59583333,27.27083333,26.76666667,26.17083333,27,27.14583333,27.07083333,26.5,26.2625,25.49583333,25.05416667,24.43333333,23.99583333,23.60833333,23.625,23.7125,23.39583333,22.93333333,23.0625,22.54166667,21.95416667,21.89583333,21.8625,21.32083333,21.39583333,21.25,20.525,20.90416667,
352.8615165,0.076459144,,,,31.35,31.19583333,30.22916667,29.3375,28.75416667,28.69166667,27.95833333,28.17916667,28.2625,27.84583333,27.65833333,27.6125,27.66666667,27.2125,26.5,26.15,25.80833333,25.00833333,24.79583333,24.3875,23.625,23.825,23.85416667,23.5,23.7,23.22916667,23.18333333,22.76666667,22.19166667,21.89166667,21.37083333,21.59583333,21.1875,21.20416667,,
347.9899437,0.062393822,,,,31.55,31.40416667,30.69583333,29.7375,29.20416667,28.625,27.97916667,27.56666667,27.2375,26.825,26.18333333,27.1125,27.17916667,26.68333333,26.37916667,26.05416667,25.42083333,24.88333333,24.59583333,24.2,23.875,23.30833333,23.38333333,22.9,22.84583333,22.61666667,22.30833333,21.92916667,21.55416667,21.8625,21.575,21.70416667,21.38333333,22.1375,21.925,20.7375
376.2232357,0.062588235,,,,31.76666667,31.24166667,30.17916667,29.45833333,28.775,28.31666667,27.73333333,27.01666667,26.75416667,26.13333333,26.89166667,27.6375,27.225,26.86666667,26.14166667,25.63333333,24.775,24.90833333,24.92916667,24.28333333,23.8,24.1125,24.07083333,23.73333333,23.19166667,22.97083333,22.79166667,22.42083333,22.0375,21.8375,21.225,20.9125,20.8125,21.17083333,20.275,
277.2144227,0.164824903,,,,31.63333333,31.67083333,30.88333333,29.70833333,29.22083333,28.52083333,27.95833333,27.35416667,26.90416667,26.34166667,25.8,27.07916667,27.1125,26.85833333,26.5125,26.12916667,25.5375,24.91666667,24.54583333,23.8375,23.43333333,23.2625,23.16666667,23.10833333,22.93333333,22.74583333,22.65833333,22.09166667,21.90416667,22.09583333,21.66666667,21.59583333,21.52083333,21.44583333,,
345.1266535,0.048522727,,,,,31.38571429,30.9625,30.16666667,29.2625,28.6125,27.90833333,27.32916667,27.14166667,26.83333333,26.47083333,27.52916667,27.81666667,27.22916667,27.30416667,26.60833333,26.15833333,25.3375,25.47083333,25.41666667,24.56666667,24.39166667,24.20416667,24.4625,24.44166667,23.47916667,23.6375,22.9,22.94583333,22.02916667,21.89166667,22.25416667,21.18333333,20.9,21.03333333,20.42083333
