GrowthDay,Low_1,High_1,Low_2,High_2,Low_3,High_3,Low_4,High_4,Low_5,High_5,Low_6,High_6,Low_7,High_7,Low_8,High_8,Low_9,High_9,Low_10,High_10,Low_11,High_11,Low_12,High_12,Low_13,High_13,Low_14,High_14,Low_15,High_15,Low_16,High_16,
9        ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
10       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
11       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
12       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
13       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
14       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
15       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
16       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
17       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
18       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
19       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
20       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
21       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
22       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
23       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
24       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
25       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
26       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
27       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
28       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
29       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
30       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
31       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
32       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
33       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
34       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
35       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
36       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
37       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
38       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
39       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
40       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
41       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
42       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
43       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
44       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
45       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
