GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,50          ,51          ,53          ,
0        ,39          ,52          ,54          ,
1        ,45          ,56          ,58          ,
2        ,51          ,64          ,67          ,
3        ,63          ,71          ,71          ,
4        ,68          ,74          ,77          ,
5        ,72          ,78          ,79          ,
6        ,74          ,79          ,82          ,
7        ,73          ,81          ,83          ,
8        ,74          ,77          ,83          ,
9        ,73          ,80          ,86          ,
10       ,75          ,78          ,88          ,
11       ,73          ,77          ,85          ,
12       ,71          ,78          ,85          ,
13       ,72          ,78          ,84          ,
14       ,75          ,80          ,86          ,
15       ,73          ,78          ,87          ,
16       ,73          ,77          ,85          ,
17       ,70          ,72          ,83          ,
18       ,65          ,73          ,81          ,
19       ,60          ,74          ,81          ,
20       ,62          ,75          ,84          ,
21       ,70          ,77          ,84          ,
22       ,72          ,81          ,88          ,
23       ,67          ,74          ,88          ,
24       ,67          ,77          ,84          ,
25       ,68          ,73          ,87          ,
26       ,69          ,73          ,85          ,
27       ,64          ,75          ,85          ,
28       ,69          ,71          ,83          ,
29       ,67          ,71          ,83          ,
30       ,65          ,69          ,84          ,
31       ,64          ,74          ,81          ,
32       ,63          ,72          ,83          ,
33       ,59          ,75          ,83          ,
34       ,59          ,71          ,85          ,
35       ,60          ,80          ,86          ,
36       ,64          ,85          ,89          ,
37       ,58          ,82          ,91          ,
38       ,不详          ,不详          ,不详          ,
