Farm_Name,House_Amount,Farm_Supervisor,Batch,House_No,DOC_date,DOC_Amount,House_Area,Density,Gender,Birds_Variety,HE_Source,HE_Age(W),Age,Harvest_status,Building_Code,Building_Name,Eggs_on_the_Ground,Estimated_Harvest_Date
G03,10.0,公赔河,66.0,H6,2024-11-23,30500.0,1920.0,15.885416666666666,M&F,SZ901PLUS,L6,42.0,37.0,2024-12-30,230306.0,Growout Farm 03 肉鸡三场第六栋,\,2024-12-30
G03,10.0,公赔河,66.0,H7,2024-11-23,30300.0,1920.0,15.78125,M&F,SZ901,L6,42.0,37.0,2024-12-30,230307.0,Growout Farm 03 肉鸡三场第七栋,\,2024-12-30
G03,10.0,公赔河,66.0,H8,2024-11-23,30300.0,1920.0,15.78125,M&F,SZ901,L6,42.0,37.0,2024-12-30,230308.0,Growout Farm 03 肉鸡三场第八栋,\,2024-12-30
G03,10.0,公赔河,66.0,H9,2024-11-24,27900.0,1802.88,15.475239616613418,M&F,Cobb,L4,46.0,37.0,2024-12-31,230309.0,Growout Farm 03 肉鸡三场第九栋,\,2024-12-31
G03,10.0,公赔河,66.0,H10,2024-11-24,28100.0,1802.88,15.586173233936812,M&F,Cobb,L4,46.0,37.0,2024-12-31,230310.0,Growout Farm 03 肉鸡三场第十栋,\,2024-12-31
G1B,8.0,余涛,50.0,H1,2024-11-20,32100.0,2065.0,15.544794188861985,M&F,Cobb,L4,45.0,38.0,2024-12-28,230101.0,Growout Farm_01B肉鸡一场B区第一栋,\,2024-12-28
G1B,8.0,余涛,50.0,H2,2024-11-22,31400.0,2080.0,15.096153846153847,M&F,SZ901,L6,42.0,37.0,2024-12-29,230102.0,Growout Farm_01B肉鸡一场B区第二栋,\,2024-12-29
G1B,8.0,余涛,50.0,H3,2024-11-22,31400.0,2065.0,15.205811138014528,M&F,SZ901,L6,42.0,36.0,2024-12-28,230103.0,Growout Farm_01B肉鸡一场B区第三栋,\,2024-12-29
G1B,8.0,余涛,50.0,H4,2024-11-22,31400.0,2080.0,15.096153846153847,M&F,SZ901,L6,42.0,37.0,2024-12-29,230104.0,Growout Farm_01B肉鸡一场B区第四栋,\,2024-12-29
G1B,8.0,余涛,50.0,H5,2024-11-22,32000.0,2065.0,15.49636803874092,M&F,SZ901,L6,42.0,37.0,2024-12-29,230105.0,Growout Farm_01B肉鸡一场B区第五栋,\,2024-12-29
G1B,8.0,余涛,50.0,H6,2024-11-22,30000.0,2080.0,14.423076923076923,M&F,Cobb,L3,26.0,37.0,2024-12-29,230106.0,Growout Farm_01B肉鸡一场B区第六栋,\,2024-12-29
G1B,8.0,余涛,50.0,H7,2024-11-22,32700.0,2146.0,15.237651444547996,M&F,Cobb,L5,51.0,36.0,2024-12-28,230107.0,Growout Farm_01B肉鸡一场B区第七栋,\,2024-12-29
G1B,8.0,余涛,50.0,H8,2024-11-22,32600.0,2160.0,15.092592592592593,M&F,Cobb,L5,51.0,36.0,2024-12-28,230108.0,Growout Farm_01B肉鸡一场B区第八栋,\,2024-12-29
G07,12.0,杨健健,64.0,H1,2024-11-05,31700.0,2041.06,15.531145581217602,M&F,Cobb,L4,43.0,38.0,2024-12-13,230701.0,Growout Farm肉鸡七场第一栋,\,2024-12-13
G07,12.0,杨健健,64.0,H2,2024-11-06,34900.0,2041.06,17.098958384368906,M&F,SZ901Plus,L7,27.0,38.0,2024-12-14,230702.0,Growout Farm肉鸡七场第二栋,\,2024-12-14
G07,12.0,杨健健,64.0,H3,2024-11-05,31800.0,2041.06,15.58013973131608,M&F,Cobb,L4,43.0,38.0,2024-12-13,230703.0,Growout Farm肉鸡七场第三栋,\,2024-12-13
G07,12.0,杨健健,64.0,H4,2024-11-06,34800.0,2041.06,17.04996423427043,M&F,SZ901Plus,L7,27.0,37.0,2024-12-13,230704.0,Growout Farm肉鸡七场第四栋,\,2024-12-14
G07,12.0,杨健健,64.0,H5,2024-11-05,29800.0,2041.06,14.600256729346517,M&F,Cobb,L5,49.0,38.0,2024-12-13,230705.0,Growout Farm肉鸡七场第五栋,\,2024-12-13
G07,12.0,杨健健,64.0,H6,2024-11-08,32100.0,2041.06,15.727122181611517,M&F,SZ901,L6,39.0,36.0,2024-12-14,230706.0,Growout Farm肉鸡七场第六栋,\,2024-12-16
G07,12.0,杨健健,64.0,H7,2024-11-05,29700.0,2041.06,14.551262579248037,M&F,Cobb,L5,49.0,38.0,2024-12-13,230707.0,Growout Farm肉鸡七场第七栋,\,2024-12-13
G07,12.0,杨健健,64.0,H8,2024-11-08,32100.0,2041.06,15.727122181611517,M&F,SZ901Plus/SZ901,L6,39.0,36.0,2024-12-14,230708.0,Growout Farm肉鸡七场第八栋,\,2024-12-16
G07,12.0,杨健健,64.0,H9,2024-11-05,29600.0,2041.06,14.50226842914956,M&F,Cobb,L5,49.0,36.0,2024-12-11,230709.0,Growout Farm肉鸡七场第九栋,\,2024-12-13
G07,12.0,杨健健,64.0,H10,2024-11-08,31800.0,2041.06,15.58013973131608,M&F,SZ901,L6,39.0,39.0,2024-12-17,230710.0,Growout Farm肉鸡七场第十栋,\,2024-12-16
G07,12.0,杨健健,64.0,H11,2024-11-06,34500.0,2041.06,16.902981783974994,M&F,SZ901Plus,L7,27.0,37.0,2024-12-13,230711.0,Growout Farm肉鸡七场第十一栋,\,2024-12-14
G07,12.0,杨健健,64.0,H12,2024-11-08,31800.0,2041.06,15.58013973131608,M&F,SZ901,L6,39.0,39.0,2024-12-17,230712.0,Growout Farm肉鸡七场第十二栋,\,2024-12-16
G08,24.0,李豪,65.0,H1,2024-11-04,27000.0,1920.0,14.0625,M&F,Cobb,L1,65.0,38.0,2024-12-12,230801.0,Growout Farm_08 肉鸡八场第一栋,\,2024-12-12
G08,24.0,李豪,65.0,H2,2024-11-05,36800.0,2388.0,15.410385259631491,M&F,Cobb,L4,43.0,36.0,2024-12-11,230802.0,Growout Farm_08 肉鸡八场第二栋,\,2024-12-13
G08,24.0,李豪,65.0,H3,2024-11-05,36800.0,2388.0,15.410385259631491,M&F,Cobb,L4,43.0,37.0,2024-12-12,230803.0,Growout Farm_08 肉鸡八场第三栋,\,2024-12-13
G08,24.0,李豪,65.0,H4,2024-11-04,36700.0,2388.0,15.368509212730318,M&F,SZ901,L6,39.0,39.0,2024-12-13,230804.0,Growout Farm_08 肉鸡八场第四栋,\,2024-12-12
G08,24.0,李豪,65.0,H5,2024-11-04,36600.0,2388.0,15.326633165829145,M&F,SZ901Plus,L6,39.0,38.0,2024-12-12,230805.0,Growout Farm_08 肉鸡八场第五栋,\,2024-12-12
G08,24.0,李豪,65.0,H6,2024-11-03,39900.0,2388.0,16.70854271356784,M&F,SZ901,下朱溪一/天河坑,39/48,38.0,2024-12-11,230806.0,Growout Farm_08 肉鸡八场第六栋,\,2024-12-11
G08,24.0,李豪,65.0,H7,2024-11-03,39800.0,2388.0,16.666666666666668,M&F,SZ901,下朱溪一,39.0,38.0,2024-12-11,230807.0,Growout Farm_08 肉鸡八场第七栋,\,2024-12-11
G08,24.0,李豪,65.0,H8,2024-11-03,32100.0,1920.0,16.71875,M&F,SZ901,L7/下朱溪一,26/39,38.0,2024-12-11,230808.0,Growout Farm_08 肉鸡八场第八栋,\,2024-12-11
G08,24.0,李豪,65.0,H9,2024-11-02,32300.0,1920.0,16.822916666666668,M&F,SZ901Plus,L7,26/27,38.0,2024-12-10,230809.0,Growout Farm_08 肉鸡八场第九栋,\,2024-12-10
G08,24.0,李豪,65.0,H10,2024-11-02,32300.0,1920.0,16.822916666666668,M&F,SZ901Plus,L7,26/27,38.0,2024-12-10,230810.0,Growout Farm_08 肉鸡八场第十栋,\,2024-12-10
G08,24.0,李豪,65.0,H11,2024-11-01,28400.0,1920.0,14.791666666666666,M&F,Cobb,L5,48.0,38.0,2024-12-09,230811.0,Growout Farm_08 肉鸡八场第十一栋,\,2024-12-09
G08,24.0,李豪,65.0,H12,2024-11-02,30000.0,1920.0,15.625,M&F,Cobb,L4,42.0,38.0,2024-12-10,230812.0,Growout Farm_08 肉鸡八场第十二栋,\,2024-12-10
G08,24.0,李豪,65.0,H13,2024-11-02,30100.0,1920.0,15.677083333333334,M&F,Cobb,L4,42.0,38.0,2024-12-10,230813.0,Growout Farm_08 肉鸡八场第十三栋,,2024-12-10
G08,24.0,李豪,65.0,H14,2024-11-02,30300.0,1920.0,15.78125,M&F,Cobb,L4,42.0,37.0,2024-12-09,230814.0,Growout Farm_08 肉鸡八场第十四栋,,2024-12-10
G08,24.0,李豪,65.0,H15,2024-11-02,30300.0,1920.0,15.78125,M&F,Cobb,L4,42.0,38.0,2024-12-10,230815.0,Growout Farm_08 肉鸡八场第十五栋,,2024-12-10
G08,24.0,李豪,65.0,H16,2024-11-02,32300.0,1920.0,16.822916666666668,M&F,SZ901Plus,L7,26/27,38.0,2024-12-10,230816.0,Growout Farm_08 肉鸡八场第十六栋,,2024-12-10
G08,24.0,李豪,65.0,H17,2024-11-03,32400.0,1920.0,16.875,M&F,SZ901Plus,L7,27.0,39.0,2024-12-12,230817.0,Growout Farm_08 肉鸡八场第十七栋,,2024-12-11
G08,24.0,李豪,65.0,H18,2024-11-03,32100.0,1920.0,16.71875,M&F,SZ901,下朱溪一,39.0,38.0,2024-12-11,230818.0,Growout Farm_08 肉鸡八场第十八栋,,2024-12-11
G08,24.0,李豪,65.0,H19,2024-11-03,32000.0,1920.0,16.666666666666668,M&F,SZ901,下朱溪一,39.0,37.0,2024-12-10,230819.0,Growout Farm_08 肉鸡八场第十九栋,,2024-12-11
G08,24.0,李豪,65.0,H20,2024-11-03,32100.0,1920.0,16.71875,M&F,SZ901,天河坑,48.0,38.0,2024-12-11,230820.0,Growout Farm_08 肉鸡八场第二十栋,,2024-12-11
G08,24.0,李豪,65.0,H21,2024-11-04,29400.0,1920.0,15.3125,M&F,SZ901,L6,39.0,38.0,2024-12-12,230821.0,Growout Farm_08 肉鸡八场第二十一栋,,2024-12-12
G08,24.0,李豪,65.0,H22,2024-11-04,29500.0,1920.0,15.364583333333334,M&F,SZ901,L6,39.0,38.0,2024-12-12,230822.0,Growout Farm_08 肉鸡八场第二十二栋,,2024-12-12
G08,24.0,李豪,65.0,H23,2024-11-04,28000.0,1920.0,14.583333333333334,M&F,Cobb,L1,65.0,38.0,2024-12-12,230823.0,Growout Farm_08 肉鸡八场第二十三栋,,2024-12-12
G08,24.0,李豪,65.0,H24,2024-11-04,27100.0,1920.0,14.114583333333334,M&F,Cobb,L1,65.0,36.0,2024-12-10,230824.0,Growout Farm_08 肉鸡八场第二十四栋,,2024-12-12
G09,22.0,杨文杰,65.0,H2,2024-10-29,16600.0,1120.0,14.821428571428571,M&F,Cobb500,L5,48W,37.0,2024-12-05,230902.0,Growout Farm肉鸡九场第二栋,\,2024-12-06
G09,22.0,杨文杰,65.0,H3,2024-10-30,22400.0,1440.0,15.555555555555555,M&F,SZ901,天河坑,48W,38.0,2024-12-07,230903.0,Growout Farm肉鸡九场第三栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H4,2024-10-29,30200.0,1920.0,15.729166666666666,M&F,SZ901,L6,38W,38.0,2024-12-06,230904.0,Growout Farm肉鸡九场第四栋,\,2024-12-06
G09,22.0,杨文杰,65.0,H5,2024-10-29,30200.0,1920.0,15.729166666666666,M&F,SZ901,L6,38w,38.0,2024-12-06,230905.0,Growout Farm肉鸡九场第五栋,\,2024-12-06
G09,22.0,杨文杰,65.0,H6,2024-10-29,30200.0,1920.0,15.729166666666666,M&F,SZ901,L6,38W,38.0,2024-12-06,230906.0,Growout Farm肉鸡九场第六栋,\,2024-12-06
G09,22.0,杨文杰,65.0,H7,2024-10-29,29100.0,1920.0,15.15625,M&F,Cobb500,L1,64W,38.0,2024-12-06,230907.0,Growout Farm肉鸡九场第七栋,\,2024-12-06
G09,22.0,杨文杰,65.0,H8,2024-10-30,26900.0,1744.0,15.424311926605505,M&F,SZ901,天河坑,48W,38.0,2024-12-07,230908.0,Growout Farm肉鸡九场第八栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H9,2024-10-30,27200.0,1744.0,15.596330275229358,M&F,SZ901,下朱溪二,48W,38.0,2024-12-07,230909.0,Growout Farm肉鸡九场第九栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H10,2024-10-30,27200.0,1744.0,15.596330275229358,M&F,SZ901,下朱溪二,48W,38.0,2024-12-07,230910.0,Growout Farm肉鸡九场第十栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H11,2024-10-30,27200.0,1744.0,15.596330275229358,M&F,SZ901,下朱溪二,48W,38.0,2024-12-07,230911.0,Growout Farm肉鸡九场第十一栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H12,2024-10-30,27200.0,1744.0,15.596330275229358,M&F,SZ901,大岭头,42W,38.0,2024-12-07,230912.0,Growout Farm肉鸡九场第十二栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H13,2024-10-30,25400.0,1632.0,15.563725490196079,M&F,SZ901,大岭头,42W,38.0,2024-12-07,230913.0,Growout Farm肉鸡九场第十三栋,\,2024-12-07
G09,22.0,杨文杰,65.0,H14,2024-10-30,24800.0,1632.0,15.196078431372548,M&F,Cobb500,L4,42W,38.0,2024-12-07,230914.0,Growout Farm肉鸡九场第十四栋,,2024-12-07
G09,22.0,杨文杰,65.0,H15,2024-10-30,24900.0,1632.0,15.257352941176471,M&F,Cobb500,L4,42W,38.0,2024-12-07,230915.0,Growout Farm肉鸡九场第十五栋,,2024-12-07
G09,22.0,杨文杰,65.0,H16,2024-11-01,25500.0,1632.0,15.625,M&F,SZ901PLUS,L6,38w,38.0,2024-12-09,230916.0,Growout Farm肉鸡九场第十六栋,,2024-12-09
G09,22.0,杨文杰,65.0,H17,2024-11-01,25500.0,1632.0,15.625,M&F,SZ901PLUS,L6,38w,38.0,2024-12-09,230917.0,Growout Farm肉鸡九场第十七栋,,2024-12-09
G09,22.0,杨文杰,65.0,H18,2024-11-01,25500.0,1632.0,15.625,M&F,SZ901,L6,38w,38.0,2024-12-09,230918.0,Growout Farm肉鸡九场第十八栋,,2024-12-09
G09,22.0,杨文杰,65.0,H19,2024-11-01,25600.0,1632.0,15.686274509803921,M&F,SZ901,L6,38w,38.0,2024-12-09,230919.0,Growout Farm肉鸡九场第十九栋,,2024-12-09
G09,22.0,杨文杰,65.0,H20,2024-11-01,25500.0,1632.0,15.625,M&F,SZ901,L6,38W,38.0,2024-12-09,230920.0,Growout Farm肉鸡九场第二十栋,,2024-12-09
G09,22.0,杨文杰,65.0,H21,2024-11-01,23900.0,1632.0,14.644607843137255,M&F,Cobb500,L5,48W,38.0,2024-12-09,230921.0,Growout Farm肉鸡九场第二十一栋,,2024-12-09
G09,22.0,杨文杰,65.0,H22,2024-11-01,23900.0,1632.0,14.644607843137255,M&F,Cobb500,L5,48W,35.0,2024-12-06,230922.0,Growout Farm肉鸡九场第二十二栋,,2024-12-09
G09,22.0,杨文杰,65.0,H23,2024-11-01,23900.0,1632.0,14.644607843137255,M&F,Cobb500,L5,48W,38.0,2024-12-09,230923.0,Growout Farm肉鸡九场第二十三栋,,2024-12-09
G10,22.0,刘乾乾,62.0,H1,2024-11-09,32500.0,1920.0,16.927083333333332,M&F,SZ901plus,L7,27.0,38.0,2024-12-17,231001.0,Growout Farm_10 肉鸡十场第一栋,\,2024-12-17
G10,22.0,刘乾乾,62.0,H2,2024-11-10,28500.0,1920.0,14.84375,M&F,Cobb,L5,49.0,37.0,2024-12-17,231002.0,Growout Farm_10 肉鸡十场第二栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H3,2024-11-10,28500.0,1920.0,14.84375,M&F,Cobb,L5,49.0,38.0,2024-12-18,231003.0,Growout Farm_10 肉鸡十场第三栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H4,2024-11-10,29700.0,1920.0,15.46875,M&F,Cobb,L1,66.0,37.0,2024-12-17,231004.0,Growout Farm_10 肉鸡十场第四栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H5,2024-11-10,29600.0,1920.0,15.416666666666666,M&F,Cobb,L1,66.0,38.0,2024-12-18,231005.0,Growout Farm_10 肉鸡十场第五栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H6,2024-11-10,30800.0,1920.0,16.041666666666668,M&F,SZ901plus,L7,28.0,38.0,2024-12-18,231006.0,Growout Farm_10 肉鸡十场第六栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H7,2024-11-10,30500.0,1920.0,15.885416666666666,M&F,SZ901plus,L7,28.0,38.0,2024-12-18,231007.0,Growout Farm_10 肉鸡十场第七栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H8,2024-11-10,30200.0,1861.44,16.223998624720647,M&F,SZ901plus,L7,28.0,38.0,2024-12-18,231008.0,Growout Farm_10 肉鸡十场第八栋,\,2024-12-18
G10,22.0,刘乾乾,62.0,H9,2024-11-11,28700.0,1861.44,15.418170878459687,M&F,Cobb,L4,44.0,38.0,2024-12-19,231009.0,Growout Farm_10 肉鸡十场第九栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H10,2024-11-11,28700.0,1861.44,15.418170878459687,M&F,Cobb,L4,44.0,37.0,2024-12-18,231010.0,Growout Farm_10 肉鸡十场第十栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H11,2024-11-11,29300.0,1861.44,15.74050197696407,M&F,Cobb,L4,44.0,38.0,2024-12-19,231011.0,Growout Farm_10 肉鸡十场十一栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H12,2024-11-11,29300.0,1861.44,15.74050197696407,M&F,Cobb,L4,44.0,37.0,2024-12-18,231012.0,Growout Farm_10 肉鸡十场十二栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H13,2024-11-11,29500.0,1861.44,15.847945676465532,M&F,SZ901plus,L6,40.0,38.0,2024-12-19,231013.0,Growout Farm_10 肉鸡十场十三栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H14,2024-11-11,29400.0,1861.44,15.7942238267148,M&F,"SZ901
SZ901plus",L6,40.0,38.0,2024-12-19,231014.0,Growout Farm_10 肉鸡十场十四栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H15,2024-11-11,29400.0,1861.44,15.7942238267148,M&F,SZ901,L6,40.0,38.0,2024-12-19,231015.0,Growout Farm_10 肉鸡十场十五栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H16,2024-11-11,29500.0,1861.44,15.847945676465532,M&F,SZ901,L6,40.0,38.0,2024-12-19,231016.0,Growout Farm_10 肉鸡十场十六栋,\,2024-12-19
G10,22.0,刘乾乾,62.0,H17,2024-11-12,27900.0,1861.44,14.988396080453843,M&F,Cobb,L5,50.0,37.0,2024-12-19,231017.0,Growout Farm_10 肉鸡十场十七栋,\,2024-12-20
G10,22.0,刘乾乾,62.0,H18,2024-11-12,27900.0,1861.44,14.988396080453843,M&F,Cobb,L5,50.0,37.0,2024-12-19,231018.0,Growout Farm_10 肉鸡十场第十八栋,\,2024-12-20
G10,22.0,刘乾乾,62.0,H19,2024-11-12,27600.0,1861.44,14.82723053120165,M&F,Cobb,L5,50.0,38.0,2024-12-20,231019.0,Growout Farm_10 肉鸡十场第十九栋,\,2024-12-20
G10,22.0,刘乾乾,62.0,H20,2024-11-12,29300.0,1861.44,15.74050197696407,M&F,SZ901plus,L7,28.0,38.0,2024-12-20,231020.0,Growout Farm_10 肉鸡十场第二十栋,\,2024-12-20
G10,22.0,刘乾乾,62.0,H21,2024-11-12,29300.0,1861.44,15.74050197696407,M&F,SZ901plus,L7,28.0,38.0,2024-12-20,231021.0,Growout Farm_10 肉鸡十场第二十一栋,\,2024-12-20
G10,22.0,刘乾乾,62.0,H22,2024-11-12,29400.0,1861.44,15.7942238267148,M&F,SZ901plus,L7,28.0,38.0,2024-12-20,231022.0,Growout Farm_10 肉鸡十场第二十二栋,\,2024-12-20
G11,9.0,张明明,70.0,H1,2024-11-08,28500.0,1920.0,14.84375,M&F,Cobb,L1,65-66,38.0,2024-12-16,231101.0,Growout Farm_11 肉鸡十一场第一栋,\,2024-12-16
G11,9.0,张明明,70.0,H2,2024-11-08,28500.0,1920.0,14.84375,M&F,Cobb,L1,65-66,38.0,2024-12-16,231102.0,Growout Farm_11 肉鸡十一场第二栋,\,2024-12-16
G11,9.0,张明明,70.0,H3,2024-11-08,28500.0,1920.0,14.84375,M&F,Cobb,L1,65-66,38.0,2024-12-16,231103.0,Growout Farm_11 肉鸡十一场第三栋,\,2024-12-16
G11,9.0,张明明,70.0,H4,2024-11-09,30400.0,1920.0,15.833333333333334,M&F,Cobb,L4,43-44,37.0,2024-12-16,231104.0,Growout Farm_11 肉鸡十一场第四栋,\,2024-12-17
G11,9.0,张明明,70.0,H5,2024-11-09,30400.0,1920.0,15.833333333333334,M&F,Cobb,L4,43-44,37.0,2024-12-16,231105.0,Growout Farm_11 肉鸡十一场第五栋,\,2024-12-17
G11,9.0,张明明,70.0,H6,2024-11-09,30400.0,1920.0,15.833333333333334,M&F,Cobb,L4,43-44,38.0,2024-12-17,231106.0,Growout Farm_11 肉鸡十一场第六栋,\,2024-12-17
G11,9.0,张明明,70.0,H7,2024-11-09,30400.0,1920.0,15.833333333333334,M&F,Cobb,L4,43-44,38.0,2024-12-17,231107.0,Growout Farm_11 肉鸡十一场第七栋,\,2024-12-17
