GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,1           ,84          ,85          ,
1        ,72          ,87          ,87          ,
2        ,71          ,86          ,87          ,
3        ,70          ,85          ,87          ,
4        ,70          ,87          ,87          ,
5        ,71          ,84          ,87          ,
6        ,76          ,86          ,87          ,
7        ,80          ,83          ,87          ,
8        ,81          ,87          ,87          ,
9        ,74          ,86          ,88          ,
10       ,76          ,87          ,87          ,
11       ,68          ,86          ,87          ,
12       ,65          ,85          ,88          ,
13       ,69          ,87          ,87          ,
14       ,76          ,87          ,88          ,
15       ,75          ,87          ,88          ,
16       ,73          ,87          ,88          ,
17       ,75          ,87          ,88          ,
18       ,74          ,87          ,88          ,
19       ,83          ,85          ,88          ,
20       ,82          ,82          ,87          ,
21       ,71          ,71          ,85          ,
22       ,21          ,21          ,82          ,
23       ,1           ,100         ,100         ,
24       ,1           ,100         ,100         ,
25       ,1           ,100         ,100         ,
26       ,1           ,100         ,100         ,
27       ,1           ,100         ,100         ,
28       ,1           ,100         ,100         ,
29       ,100         ,100         ,100         ,
30       ,100         ,100         ,100         ,
31       ,100         ,100         ,100         ,
32       ,100         ,100         ,100         ,
33       ,100         ,100         ,100         ,
34       ,1           ,100         ,100         ,
35       ,100         ,100         ,100         ,
36       ,100         ,100         ,100         ,
37       ,100         ,100         ,100         ,
