DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,EstimatedSlaughterDate ,FarmName,FarmSupervisor,HouseAmount,Batch,eef_flg,eef
"07.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),05.[1920.0 ~ 1978.56),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",01.[58 ~ inf),03.[38.0 ~ inf),"09.2024-12-06,2025-..","06.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),10.[70 ~ inf),1,451.0846344046597
"07.2024-11-27,2024-..",00.[-inf ~ 26400.0),05.[1920.0 ~ 1978.56),00.[-inf ~ 15.74740207833733),"00.SZ901plus,SZ901P..","01.L6,大岭头",01.[58 ~ inf),03.[38.0 ~ inf),"09.2024-12-06,2025-..","06.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),10.[70 ~ inf),1,452.5899680803168
"07.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),05.[1920.0 ~ 1978.56),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",01.[58 ~ inf),03.[38.0 ~ inf),"09.2024-12-06,2025-..","06.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),10.[70 ~ inf),1,471.1975534096461
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"03.大岗垅平,L3",01.[58 ~ inf),03.[38.0 ~ inf),"02.2024-12-11,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,289.9180029225472
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,364.13820663003736
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),01.[36.0 ~ 37.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,352.8615164798678
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),03.[38.0 ~ inf),"02.2024-12-11,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,347.989943708412
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,376.223235680606
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),01.[36.0 ~ 37.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,277.21442269850724
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),02.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"03.901plus,SZ901 PI..",00.L7,01.[58 ~ inf),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,345.1266535291381
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"02.L5,L4",00.[-inf ~ 58),03.[38.0 ~ inf),"02.2024-12-11,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,340.5002689772324
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),02.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"03.901plus,SZ901 PI..",00.L7,01.[58 ~ inf),02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,349.69084765009285
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),02.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"04.cobb,SZ901/
SZ90..","01.L6,大岭头",00.[-inf ~ 58),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,356.5828739283795
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..",00.L7,01.[58 ~ inf),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,354.76279752775434
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),02.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","01.L6,大岭头",00.[-inf ~ 58),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,329.5635731014831
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..",00.L7,01.[58 ~ inf),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,352.8727388311591
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),02.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","01.L6,大岭头",00.[-inf ~ 58),02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,342.2310822555692
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),02.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..",00.L7,01.[58 ~ inf),03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),05.[62 ~ 63),0,328.7857387970457
