index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
HouseNo,object,720,0.00%,25,H3:6.94%,H8:6.81%,H2:6.81%,H5:6.53%,H4:6.53%,H22:1.39%,H21:0.97%,H23:0.69%,H24:0.69%,H26:0.28%
DOCdate,object,720,0.00%,108,2024-10-29:1.39%,2024-11-19:1.25%,2024-10-30:1.25%,2024-11-01:1.25%,2024-12-03:1.25%,2024-10-21:0.28%,2024-12-22:0.28%,2024-12-16:0.28%,2024-10-24:0.14%,2024-12-12:0.14%
DOCAmount,float64,720,0.00%,171,30715.833333333332,5056.330737650755,15800.0,23257.0,25500.0,29400.0,32325.0,38700.0,42800.0,44600.0
HouseArea,float64,720,0.00%,26,1995.9696666666669,314.1951016632933,1120.0,1568.8,1632.0,1920.0,2065.0,2502.0,2698.0,2698.0
Density,float64,720,0.00%,316,15.382474731055046,0.5552836729170092,12.239583333333334,14.034375000000002,14.730907254598591,15.416666666666666,15.7185023451399,15.955371520588912,16.897665245019745,17.14975845410628
Gender,object,720,0.00%,1,M&F:100.00%,,,,,,,,,M&F:100.00%
BirdsVariety,object,720,0.00%,26,Cobb:36.53%,SZ901:20.56%,SZ901Plus:9.44%,SZ901PLUS:6.94%,SZ901plus:6.67%,sz901Plus:0.14%,"SZ901
SZ901Plus:0.14%",SZ901/SZ901Plus:0.14%,SZ904PLUS:0.14%,Cobb/SZ901plus:0.14%
HESource,object,720,0.00%,31,L7:22.22%,L6:21.53%,L4:16.81%,L3:14.86%,L5:11.53%,马头洋/樟树后/L6:0.14%,L7/L1:0.14%,L3/L1:0.14%,L4/L5:0.14%,L1&L7:0.14%
HEAge,object,720,0.00%,127,35.0:3.75%,39.0:2.92%,51.0:2.78%,48.0:2.78%,29.0:2.36%,37/26-27:0.14%,58W/63-64W:0.14%,27-28W:0.14%,27W&41W:0.14%,63W:0.14%
Age,float64,720,0.00%,6,36.768055555555556,0.8999036247099091,34.0,35.0,36.0,37.0,37.0,38.0,38.0,39.0
Harveststatus,object,720,0.00%,104,2025-01-09:1.39%,2025-01-07:1.39%,2024-12-26:1.25%,2024-12-27:1.25%,2025-01-04:1.25%,2025-01-26:0.42%,2025-01-30:0.42%,2025-01-27:0.28%,2025-03-22:0.28%,2025-03-31:0.14%
Houseid,float64,720,0.00%,321,232065.93333333332,2540.305970532313,230001.0,230003.0,230208.0,231402.0,233003.0,233209.0,242705.81,242709.0
HouseName,object,720,0.00%,331,Growout Farm_32 肉鸡三十二场第二十栋:0.42%,Growout Farm_32 肉鸡三十二场第十九栋:0.42%,Growout Farm_32 肉鸡三十二场第十八栋:0.42%,Growout Farm_32 肉鸡三十二场第十七栋:0.42%,Growout Farm_32 肉鸡三十二场第十六栋:0.42%,Growout Farm_28 肉鸡二十八场第三栋:0.28%,Growout  Farm _01肉鸡一场第十三栋:0.28%,Growout Farm_31肉鸡三十一场第九栋:0.14%,Growout Farm_01B肉鸡一场B区第九栋:0.14%,Growout Farm_01B肉鸡一场B区第十栋:0.14%
NumberofFloorEggs ,object,720,7.22%,1,\:92.78%,,,,,,,,,\:92.78%
EstimatedSlaughterDate ,object,720,2.78%,104,2025-01-20:1.39%,2024-12-27:1.25%,2024-12-09:1.25%,2024-12-07:1.25%,2025-02-24:1.25%,2024-11-28:0.28%,2025-01-15:0.28%,2025-01-27:0.28%,2025-01-16:0.28%,2024-03-11:0.28%
FarmName,object,720,0.00%,24,G09:9.17%,G32:8.33%,G31:7.08%,G08:6.67%,G10:6.11%,G11:2.50%,G28:2.50%,G14:2.50%,G02:1.39%,GTF:1.25%
FarmSupervisor,object,720,0.00%,25,杨文杰:9.17%,张玉风:8.33%,姚闯:7.08%,李豪:6.67%,刘乾乾:6.11%,王志远:2.50%,丁家宝:1.39%,陈铁楠:1.39%,丁家保:1.39%,罗冲:1.25%
HouseAmount,float64,720,0.00%,11,16.34722222222222,5.3704484813415085,3.0,3.0,9.0,17.0,20.0,22.0,24.0,24.0
Batch,float64,720,0.00%,20,60.61388888888889,11.311044309931749,24.0,24.0,51.0,65.0,66.0,67.0,71.0,73.0
id_no,object,720,0.00%,52,08_65:3.33%,08_66:3.33%,10_62:3.06%,09_65:3.06%,09_67:3.06%,02_61:0.69%,02_62:0.69%,00_71:0.42%,TF_72:0.42%,00_73:0.42%
birds_placed,float64,720,0.00%,171,30715.833333333332,5056.330737650755,15800.0,23257.0,25500.0,29400.0,32325.0,38700.0,42800.0,44600.0
gender,object,720,0.00%,30,L7:22.64%,L6:21.53%,L4:16.81%,L3:14.86%,L5:11.53%,马头洋/樟树后/L6:0.14%,L7/L1:0.14%,L3/L1:0.14%,L4/L5:0.14%,L1&L7:0.14%
house_area_m2,float64,720,0.00%,27,1995.861277777778,313.8345063941347,1120.0,1568.8,1632.0,1920.0,2065.0,2502.0,2700.0,2700.0
stocking_density,float64,720,0.00%,694,13.972275399511606,0.9357456907225746,10.427350427350428,11.023378568744974,12.77672619047619,14.141583447525013,14.660338769984527,14.996822663466213,15.655058333333331,16.1611030478955
birds_hung,float64,720,0.00%,702,27766.781944444443,5013.212490820216,15091.0,19294.56,22507.0,26556.5,29626.25,36129.2,39440.039999999986,40775.0
total_hung_weight_kg,float64,720,0.00%,720,58840.726722222214,12615.280324214833,30051.48,35137.417,43742.8,57308.5,65318.195,78700.55500000001,87630.0878,98924.64
avg_weight_kg,float64,720,0.00%,720,2.1141540348227568,0.2068760767051205,1.5326224124203822,1.6357152847548908,1.8443986773999532,2.1202893372095186,2.2591728825970634,2.3643476996390462,2.546558261527112,2.7718572542033177
