variables,target,type,corrs,p_values
"挂鸡总重（kg）
Total hung weight",eef,皮尔逊相关系数,0.6232444828041521,1.0265032208121367e-78
"均重（kg）
 Average weight",eef,皮尔逊相关系数,0.8861261116268041,5.1549854551872e-242
"小毛鸡数量
Small broilers No.",eef,皮尔逊相关系数,-0.26430674848834945,5.663701691296498e-13
"小毛鸡总重（kg）
 Total weight of small broilers",eef,皮尔逊相关系数,-0.42208468695815937,1.7991868022294761e-32
"PP死淘鸡只
PP cull and dead No.",eef,皮尔逊相关系数,-0.46881268918717917,1.274900714514011e-40
"死淘总重（kg）
Dead and Cull Weight",eef,皮尔逊相关系数,-0.4099963782218967,1.459154118420233e-30
"PP不合格淘汰鸡
PP Cull",eef,皮尔逊相关系数,-0.29227005369717396,1.2022472955404388e-15
"PP淘汰鸡总重
PP Cull bird Weight",eef,皮尔逊相关系数,-0.0020331576396585074,0.9565681901030959
日龄Age,eef,皮尔逊相关系数,0.3059368056923012,4.5786763617389096e-17
"出鸡只数
Catching No.",eef,皮尔逊相关系数,0.28020920208390304,1.8635854502792203e-14
"成活率
Livability (%)",eef,皮尔逊相关系数,0.8078715451882297,4.9961785949905894e-167
"出鸡总重（kg）
Total Catched weight",eef,皮尔逊相关系数,0.6157693458397798,2.2911313692470694e-76
"单位面积产肉率
Density, Yield(KG)/m2",eef,皮尔逊相关系数,0.9157233208204439,1.5786224661156396e-286
"均重（kg）
Average weight",eef,皮尔逊相关系数,0.8861634343396877,4.615143214228855e-242
"累计耗料（kg）
Feed cons. Cum.",eef,皮尔逊相关系数,0.3863825725127136,4.727546895817314e-27
料肉比 FCR,eef,皮尔逊相关系数,-0.9097284307205051,2.668731137318169e-276
Adjust FCR (base 2.45KG),eef,皮尔逊相关系数,-0.9656369231899216,0.0
饲料成本（元）,eef,皮尔逊相关系数,0.38638257251271346,4.727546895817314e-27
用电费用（元）,eef,皮尔逊相关系数,-0.012958375193360516,0.7285010765532224
燃气费用（元）,eef,皮尔逊相关系数,-0.13279527253910323,0.00035302904922228064
折旧费（元）,eef,皮尔逊相关系数,0.057670566143954376,0.12208962756586351
雏鸡成本（元）,eef,皮尔逊相关系数,0.057670566143954376,0.12208962756586351
总成本（元）,eef,皮尔逊相关系数,0.2900722694155381,2.0007943124830777e-15
每公斤成本（元）,eef,皮尔逊相关系数,-0.7760152634977813,7.298543809554745e-146
毛鸡销售收入（元）,eef,皮尔逊相关系数,0.6157693458397799,2.2911313692466772e-76
每栋纯利润（元）,eef,皮尔逊相关系数,0.7273488632736101,1.6364953935362366e-119
饲料（元/只）,eef,皮尔逊相关系数,0.30491056570580033,5.887772865602328e-17
用电（元/只）,eef,皮尔逊相关系数,-0.014096000068088876,0.7057300317638524
燃气（元/只）,eef,皮尔逊相关系数,-0.2816568962672088,1.350508689345911e-14
每只鸡成本（元）,eef,皮尔逊相关系数,0.12822134371346433,0.0005630685886126271
死鸡,eef,皮尔逊相关系数,-0.7667972241286094,2.2133831879541153e-140
肿头,eef,皮尔逊相关系数,-0.2486982767303501,1.303025130790169e-11
弱小鸡,eef,皮尔逊相关系数,-0.20481749338785693,2.9366677165903215e-08
脐炎,eef,皮尔逊相关系数,0.01200550647369853,0.7477607353983566
糊肛,eef,皮尔逊相关系数,-0.05802997693396386,0.1197762700010685
腿病,eef,皮尔逊相关系数,-0.23534834819129632,1.6148311440406128e-10
死淘,eef,皮尔逊相关系数,-0.6875178753539691,7.247372608250422e-102
死淘率,eef,皮尔逊相关系数,-0.7206741071647819,2.427483774634024e-116
