GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,5           ,5           ,87          ,
0        ,5           ,55          ,57          ,
1        ,53          ,60          ,62          ,
2        ,49          ,54          ,60          ,
3        ,48          ,60          ,60          ,
4        ,53          ,54          ,61          ,
5        ,49          ,61          ,62          ,
6        ,52          ,61          ,65          ,
7        ,54          ,59          ,66          ,
8        ,51          ,61          ,67          ,
9        ,55          ,59          ,67          ,
10       ,57          ,59          ,68          ,
11       ,56          ,57          ,68          ,
12       ,51          ,60          ,69          ,
13       ,56          ,58          ,70          ,
14       ,55          ,58          ,70          ,
15       ,54          ,57          ,71          ,
16       ,53          ,59          ,71          ,
17       ,57          ,66          ,74          ,
18       ,63          ,68          ,75          ,
19       ,60          ,67          ,74          ,
20       ,63          ,72          ,77          ,
21       ,62          ,65          ,76          ,
22       ,60          ,67          ,76          ,
23       ,64          ,69          ,77          ,
24       ,57          ,69          ,77          ,
25       ,53          ,67          ,76          ,
26       ,61          ,69          ,75          ,
27       ,59          ,69          ,78          ,
28       ,64          ,72          ,80          ,
29       ,66          ,71          ,80          ,
30       ,68          ,74          ,80          ,
31       ,69          ,72          ,81          ,
32       ,71          ,77          ,85          ,
33       ,65          ,74          ,85          ,
34       ,67          ,74          ,82          ,
35       ,60          ,74          ,82          ,
36       ,58          ,69          ,78          ,
