GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,31.5        ,34.0        ,35.3        ,
1        ,32.8        ,32.8        ,34.9        ,
2        ,31.9        ,32.9        ,34.5        ,
3        ,31.0        ,32.9        ,33.4        ,
4        ,30.4        ,31.5        ,33.0        ,
5        ,29.8        ,30.2        ,32.2        ,
6        ,29.0        ,29.2        ,31.3        ,
7        ,28.7        ,29.2        ,30.7        ,
8        ,28.1        ,29.5        ,30.1        ,
9        ,27.8        ,28.5        ,30.1        ,
10       ,27.3        ,28.3        ,29.5        ,
11       ,26.9        ,28.9        ,29.6        ,
12       ,26.5        ,26.6        ,28.9        ,
13       ,25.6        ,27.5        ,29.1        ,
14       ,25.7        ,26.8        ,28.2        ,
15       ,25.3        ,27.2        ,28.3        ,
16       ,24.9        ,25.2        ,27.7        ,
17       ,24.7        ,26.2        ,27.4        ,
18       ,24.3        ,25.6        ,27.3        ,
19       ,24.1        ,26.0        ,26.3        ,
20       ,23.5        ,23.9        ,26.0        ,
21       ,23.3        ,24.8        ,25.8        ,
22       ,23.3        ,24.4        ,25.5        ,
23       ,23.1        ,23.9        ,25.8        ,
24       ,23.0        ,24.3        ,25.5        ,
25       ,22.3        ,22.5        ,25.2        ,
26       ,21.9        ,22.9        ,25.1        ,
27       ,21.5        ,23.3        ,24.8        ,
28       ,22.1        ,23.1        ,24.9        ,
29       ,22.1        ,23.3        ,25.2        ,
30       ,22.1        ,23.8        ,25.2        ,
31       ,22.0        ,24.8        ,25.1        ,
32       ,21.8        ,22.5        ,25.1        ,
33       ,22.1        ,24.5        ,25.2        ,
34       ,22.4        ,24.1        ,25.9        ,
35       ,22.3        ,23.0        ,26.6        ,
36       ,21.9        ,23.2        ,26.0        ,
37       ,15.9        ,15.9        ,24.8        ,
38       ,5.5         ,5.5         ,23.5        ,
39       ,3.4         ,4.6         ,6.3         ,
