GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0.000  ,853        ,不详         ,853     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,367        ,不详         ,367     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,550        ,50         ,550     ,50            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,578        ,5          ,578     ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,871        ,50         ,871     ,50            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,660        ,-25        ,660     ,-25           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,899        ,36         ,899     ,36            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,881        ,-3         ,881     ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1174       ,33         ,1174    ,33            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1578       ,34         ,1578    ,34            ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1513       ,-5         ,1513    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1633       ,7          ,1633    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,2046       ,25         ,2046    ,25            ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2000       ,-3         ,2000    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2330       ,16         ,2330    ,16            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,2330       ,0          ,2330    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2513       ,7          ,2513    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2642       ,5          ,2642    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,3064       ,15         ,3064    ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,2807       ,-9         ,2807    ,-9            ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3064       ,9          ,3064    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3073       ,0          ,3073    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3247       ,5          ,3247    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3412       ,5          ,3412    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3247       ,-5         ,3247    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,4165       ,28         ,4165    ,28            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3486       ,-17        ,3486    ,-17           ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3871       ,11         ,3871    ,11            ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,4550       ,17         ,4550    ,17            ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,4036       ,-12        ,4036    ,-12           ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,3724       ,-8         ,3724    ,-8            ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,3862       ,3          ,3862    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,3917       ,1          ,3917    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,3706       ,-6         ,3706    ,-6            ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,3743       ,0          ,3743    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,3825       ,2          ,3825    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,4825       ,26         ,4825    ,26            ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,495        ,-90        ,495     ,-90           ,0       ,0             ,0       ,0             ,0       ,0             ,
