DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,EstimatedSlaughterDate ,FarmName,FarmSupervisor,HouseAmount,Batch,eef_flg,eef
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,354.76279752775434
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),01.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,329.5635731014831
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,352.8727388311591
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),01.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","01.48.0,32W,45.0,30..",02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,342.2310822555692
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,328.7857387970457
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),01.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,322.2587249275539
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,309.8250685919982
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","02.下朱溪一,樟树后,洋坑,牛苦坑,..","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,354.3846464583438
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","02.下朱溪一,樟树后,洋坑,牛苦坑,..","03.46.0,27.0,30.0,5..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,237.63398939048008
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,352.10630830267377
