Date,Age,Dead,Swollen_Head,Weak,Navel_Disease,Stick_Anus,Lame_Paralysis,Mortality,Mortality_rate,Remark,ID_NUM
2024-07-31 00:00:00,0.0,,,,,,,0.0,0.0,,G1A_60_H1
2024-08-01 00:00:00,1.0,10.0,,6.0,,,3.0,19.0,0.000753968253968254,,G1A_60_H1
2024-08-02 00:00:00,2.0,6.0,,10.0,,,2.0,18.0,0.0007142857142857143,,G1A_60_H1
2024-08-03 00:00:00,3.0,11.0,,10.0,,,2.0,23.0,0.0009126984126984128,,G1A_60_H1
2024-08-04 00:00:00,4.0,6.0,,8.0,,,4.0,18.0,0.0007142857142857143,,G1A_60_H1
2024-08-05 00:00:00,5.0,2.0,,7.0,,,5.0,14.0,0.0005555555555555556,,G1A_60_H1
2024-08-06 00:00:00,6.0,7.0,,3.0,,,4.0,14.0,0.0005555555555555556,,G1A_60_H1
2024-08-07 00:00:00,7.0,2.0,,10.0,,,7.0,19.0,0.000753968253968254,,G1A_60_H1
2024-08-08 00:00:00,8.0,35.0,,80.0,,,50.0,165.0,0.006547619047619048,,G1A_60_H1
2024-08-09 00:00:00,9.0,10.0,,1.0,,,2.0,13.0,0.0005158730158730159,,G1A_60_H1
2024-08-10 00:00:00,10.0,6.0,,9.0,,,3.0,18.0,0.0007142857142857143,,G1A_60_H1
2024-08-11 00:00:00,11.0,4.0,,6.0,,,4.0,14.0,0.0005555555555555556,,G1A_60_H1
2024-08-12 00:00:00,12.0,2.0,,12.0,,,4.0,18.0,0.0007142857142857143,,G1A_60_H1
2024-08-13 00:00:00,13.0,5.0,2.0,10.0,,,3.0,20.0,0.0007936507936507937,,G1A_60_H1
2024-08-14 00:00:00,14.0,2.0,,13.0,,,3.0,18.0,0.0007142857142857143,,G1A_60_H1
2024-08-15 00:00:00,15.0,2.0,2.0,26.0,,,8.0,38.0,0.001507936507936508,,G1A_60_H1
2024-08-16 00:00:00,16.0,5.0,,21.0,,,32.0,58.0,0.0023015873015873015,,G1A_60_H1
2024-08-17 00:00:00,17.0,6.0,,15.0,,,15.0,36.0,0.0014285714285714286,,G1A_60_H1
2024-08-18 00:00:00,18.0,2.0,,11.0,,,12.0,25.0,0.000992063492063492,,G1A_60_H1
2024-08-19 00:00:00,19.0,8.0,,7.0,,,8.0,23.0,0.0009126984126984128,,G1A_60_H1
2024-08-20 00:00:00,20.0,3.0,,10.0,,,,13.0,0.0005158730158730159,,G1A_60_H1
2024-08-21 00:00:00,21.0,4.0,,2.0,,,4.0,10.0,0.0003968253968253968,,G1A_60_H1
2024-08-22 00:00:00,22.0,5.0,1.0,6.0,,,7.0,19.0,0.000753968253968254,,G1A_60_H1
2024-08-23 00:00:00,23.0,3.0,,1.0,,,4.0,8.0,0.00031746031746031746,,G1A_60_H1
2024-08-24 00:00:00,24.0,9.0,,3.0,,,4.0,16.0,0.0006349206349206349,,G1A_60_H1
2024-08-25 00:00:00,25.0,6.0,,5.0,,,6.0,17.0,0.0006746031746031747,,G1A_60_H1
2024-08-26 00:00:00,26.0,4.0,,4.0,,,9.0,17.0,0.0006746031746031747,,G1A_60_H1
2024-08-27 00:00:00,27.0,3.0,,3.0,,,2.0,8.0,0.00031746031746031746,,G1A_60_H1
2024-08-28 00:00:00,28.0,4.0,,8.0,,,10.0,22.0,0.000873015873015873,,G1A_60_H1
