Date,Highest_Temp_Outside,Lowest_Temp_Outside,Age,Dead,Cull,Water,Feed,Fuel,Power,Highest_humidity,Lowest_Humidity,Highest_Temn,Lowest_Temn,Ventilation_Coefficient_Cold,Ventilation_Coefficient_Warm,Fan_Num_Less36,Fan_Num_More36,Fan_Num_Less50,Fan_Num_More50,DOCAmount,ID_NUM
2024-02-28 00:00:00,4.7,-1.2,1.0,16.0,6.0,0.74,370.0,229.0,116.0,0.6,0.42,36.1,33.5,0.62,0.62,0.0,0.0,1.0,1.0,28400.0,G02_56_H1
2024-03-04 00:00:00,11.0,4.0,6.0,6.0,19.0,1.74,880.0,172.4,72.0,0.71,0.56,33.3,30.6,0.5,0.56,0.0,0.0,1.0,2.0,28400.0,G02_56_H1
2024-03-05 00:00:00,11.0,5.0,7.0,5.0,11.0,1.98,990.0,193.0,56.0,0.73,0.53,32.1,29.7,0.55,0.55,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-06 00:00:00,11.0,2.0,8.0,7.0,173.0,2.07,1035.0,231.4,68.0,0.8,0.54,31.9,29.5,0.53,0.53,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-07 00:00:00,14.0,0.0,9.0,27.0,3.0,2.41,1205.0,243.8,60.0,0.77,0.54,31.8,28.9,0.52,0.58,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-08 00:00:00,14.0,1.0,10.0,3.0,9.0,2.8,1400.0,193.0,52.0,0.8,0.54,31.4,28.3,0.41,0.5,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-09 00:00:00,14.0,0.0,11.0,2.0,16.0,3.19,1595.0,204.0,44.0,0.83,0.57,30.9,27.9,0.4,0.48,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-10 00:00:00,16.0,2.0,12.0,6.0,21.0,3.58,1790.0,200.6,44.0,0.83,0.6,30.5,27.5,0.38,0.45,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-11 00:00:00,21.0,7.0,13.0,3.0,11.0,4.02,2010.0,104.2,40.0,0.79,0.59,30.1,27.3,0.37,0.52,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-12 00:00:00,17.0,5.0,14.0,5.0,10.0,4.19,2090.0,70.4,36.0,0.83,0.63,29.9,27.0,0.35,0.42,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
2024-03-13 00:00:00,16.0,4.0,15.0,8.0,15.0,4.35,2175.0,120.4,40.0,0.81,0.6,29.5,26.9,0.27,0.34,0.0,0.0,2.0,2.0,28400.0,G02_56_H1
