GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,59          ,68          ,69          ,
0        ,53          ,57          ,70          ,
1        ,53          ,72          ,72          ,
2        ,64          ,70          ,72          ,
3        ,44          ,70          ,71          ,
4        ,53          ,72          ,74          ,
5        ,47          ,68          ,73          ,
6        ,47          ,67          ,71          ,
7        ,61          ,81          ,83          ,
8        ,74          ,84          ,86          ,
9        ,69          ,84          ,88          ,
10       ,69          ,88          ,88          ,
11       ,68          ,87          ,89          ,
12       ,69          ,86          ,89          ,
13       ,76          ,89          ,91          ,
14       ,77          ,90          ,90          ,
15       ,81          ,89          ,91          ,
16       ,73          ,90          ,91          ,
17       ,79          ,90          ,91          ,
18       ,79          ,90          ,90          ,
19       ,72          ,89          ,91          ,
20       ,75          ,86          ,91          ,
21       ,81          ,88          ,89          ,
22       ,77          ,89          ,89          ,
23       ,79          ,89          ,89          ,
24       ,80          ,89          ,90          ,
25       ,84          ,89          ,90          ,
26       ,80          ,90          ,91          ,
27       ,83          ,85          ,91          ,
28       ,60          ,86          ,87          ,
29       ,74          ,89          ,89          ,
30       ,79          ,88          ,91          ,
31       ,80          ,87          ,88          ,
32       ,83          ,89          ,89          ,
33       ,82          ,87          ,90          ,
34       ,84          ,87          ,90          ,
35       ,85          ,90          ,92          ,
36       ,88          ,91          ,92          ,
37       ,90          ,92          ,96          ,
38       ,86          ,95          ,100         ,
39       ,86          ,94          ,95          ,
40       ,81          ,82          ,100         ,
41       ,82          ,89          ,91          ,
42       ,89          ,90          ,92          ,
43       ,86          ,86          ,93          ,
