GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,100         ,100         ,100         ,
-1       ,59          ,75          ,100         ,
0        ,63          ,80          ,81          ,
1        ,58          ,72          ,81          ,
2        ,65          ,82          ,82          ,
3        ,66          ,79          ,83          ,
4        ,65          ,84          ,84          ,
5        ,65          ,81          ,84          ,
6        ,67          ,79          ,83          ,
7        ,71          ,80          ,82          ,
8        ,74          ,84          ,84          ,
9        ,77          ,82          ,85          ,
10       ,68          ,83          ,85          ,
11       ,70          ,82          ,85          ,
12       ,61          ,82          ,84          ,
13       ,60          ,80          ,83          ,
14       ,66          ,84          ,84          ,
15       ,72          ,85          ,85          ,
16       ,71          ,85          ,87          ,
17       ,69          ,85          ,87          ,
18       ,69          ,84          ,86          ,
19       ,69          ,84          ,86          ,
20       ,77          ,86          ,87          ,
21       ,78          ,87          ,88          ,
22       ,81          ,87          ,88          ,
23       ,75          ,89          ,89          ,
24       ,77          ,83          ,90          ,
25       ,77          ,88          ,88          ,
26       ,76          ,89          ,91          ,
27       ,83          ,88          ,90          ,
28       ,83          ,89          ,89          ,
29       ,82          ,90          ,90          ,
30       ,85          ,90          ,91          ,
31       ,86          ,89          ,91          ,
32       ,87          ,90          ,92          ,
33       ,89          ,93          ,96          ,
34       ,84          ,84          ,95          ,
35       ,73          ,88          ,89          ,
36       ,83          ,93          ,93          ,
37       ,91          ,97          ,97          ,
38       ,91          ,91          ,100         ,
39       ,90          ,100         ,100         ,
40       ,100         ,100         ,100         ,
41       ,100         ,100         ,100         ,
42       ,100         ,100         ,100         ,
43       ,100         ,100         ,100         ,
