批次,栋舍 House,"进雏只数
Bird placed No.","公母
Gender","鸡舍面积m2 
House Area","出栏密度
Density","挂鸡只数
Hang No.","挂鸡总重（kg）
Total hung weight","均重（kg）
 Average weight","小毛鸡数量
Small broilers No.","小毛鸡总重（kg）
 Total weight of small broilers","PP死淘鸡只
PP cull and dead No.","死淘总重（kg）
Dead and Cull Weight","PP不合格淘汰鸡
PP Cull","PP淘汰鸡总重
PP Cull bird Weight",日龄Age,"出栏造成死亡只数 
Dead while catching","出鸡只数
Catching No.","成活率
Livability (%)","出鸡总重（kg）
Total Catched weight","单位面积产肉率
Density, Yield(KG)/m2","均重（kg）
Average weight","累计耗料（kg）
Feed cons. Cum.",料肉比 FCR,Adjust FCR (base 2.45KG)              ,欧洲指数 EEF
G17-67,H1,"29,800",L7,1920,14-Jan-00,"26,895","59,862",2.23,43,40.85,87,194,11,122,37,0,"26,982",90.54%,"60,056",31.28,2.23,"105,830",1.76,1.82,309.09
G17-67,H2,"30,000",L4,"1,920",14-Jan-00,"27,164","65,317",2.4,83,78.26,116,266,7,133.4,37,0,"27,280",90.93%,"65,583",34.16,2.4,"109,870",1.68,1.69,352.68
G17-67,H3,"30,000",L4,1920,14-Jan-00,"28,438","69,692",2.45,83,78.26,74,159,6,133.4,37,0,"28,512",95.04%,"69,851",36.38,2.45,"111,980",1.6,1.6,392.54
G17-67,H4,"30,000",L4,1920,14-Jan-00,"28,238","63,536",2.25,83,78.26,111,254,6,133.4,37,0,"28,349",94.50%,"63,790",33.22,2.25,"107,620",1.69,1.74,340.63
G17-67,H5,"30,000",L4,"1,920",14-Jan-00,"27,474","60,156",2.19,82,78,192,440,6,133,37,0,"27,666",92.22%,"60,596",31.56,2.19,"107,310",1.77,1.84,308.27
G17-67,H6,"28,500",L5,1920,13-Jan-00,"25,352","58,610",2.31,82,78.26,109,232,6,133.4,37,0,"25,461",89.34%,"58,842",30.65,2.31,"101,500",1.72,1.76,323.49
G17-67,H7,"29,100",L1,1920,13-Jan-00,"25,551","58,212",2.28,43,40.85,72,161,11,121.99,36,0,"25,623",88.05%,"58,373",30.4,2.28,"97,410",1.67,1.71,333.91
G17-67,H8,"29,000",L1,1920,13-Jan-00,"25,601","56,221",2.2,43,40.85,139,310,11,121.99,36,0,"25,740",88.76%,"56,531",29.44,2.2,"98,270",1.74,1.8,311.5
G17-67,H9,"30,500",叶子琴,1920,14-Jan-00,"27,862","53,567",1.92,82,78.25,92,196,6,133.38,36,0,"27,954",91.65%,"53,763",28,1.92,"95,060",1.77,1.9,276.93
G17-67,H10,"30,300",叶子琴,1920,14-Jan-00,"28,401","55,366",1.95,82,78.25,84,179,6,133.38,36,0,"28,485",94.01%,"55,545",28.93,1.95,"96,110",1.73,1.86,294.29
G17-67,H11,"30,300",叶子琴,1920,14-Jan-00,"28,622","61,538",2.15,0,0,52,112,6,158.73,37,0,"28,674",94.63%,"61,650",32.11,2.15,"104,490",1.69,1.77,324.45
