GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
0        ,0.000  ,1706       ,不详         ,1706    ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
1        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,1073       ,不详         ,1073    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,1073       ,0          ,1073    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,1431       ,33         ,1431    ,33            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,404        ,-72        ,404     ,-72           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,743        ,84         ,743     ,84            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1101       ,48         ,1101    ,48            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1477       ,34         ,1477    ,34            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1431       ,-4         ,1431    ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1651       ,15         ,1651    ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1835       ,11         ,1835    ,11            ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,2110       ,14         ,2110    ,14            ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2128       ,0          ,2128    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2321       ,9          ,2321    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,4018       ,73         ,4018    ,73            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2513       ,-38        ,2513    ,-38           ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2724       ,8          ,2724    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,3128       ,14         ,3128    ,14            ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,3073       ,-2         ,3073    ,-2            ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,2844       ,-8         ,2844    ,-8            ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3055       ,7          ,3055    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3330       ,9          ,3330    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3678       ,10         ,3678    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3733       ,1          ,3733    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3504       ,-7         ,3504    ,-7            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3330       ,-5         ,3330    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3357       ,0          ,3357    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3431       ,2          ,3431    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,2743       ,-21        ,2743    ,-21           ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,1449       ,-48        ,1449    ,-48           ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,1532       ,5          ,1532    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,1495       ,-3         ,1495    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,899        ,-40        ,899     ,-40           ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,1779       ,97         ,1779    ,97            ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,1532       ,-14        ,1532    ,-14           ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,431        ,-72        ,431     ,-72           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,624        ,44         ,624     ,44            ,0       ,0             ,0       ,0             ,0       ,0             ,
39       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
