index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
日龄,float64,1458545,0.00%,83,20.72245823431567,34.96943444298995,-2.0,-1.0,4.0,21.0,30.0,35.0,40.0,10000.0
时间,object,1458545,0.00%,223,13:00:2.82%,14:00:2.82%,20:00:2.82%,12:00:2.82%,21:00:2.82%,18:31:0.00%,18:32:0.00%,18:33:0.00%,18:34:0.00%,15:05:0.00%
目标温度,float64,1458545,0.00%,349,25.14952869192469,4.508239535527595,0.0,15.9,19.5,24.8,28.2,31.6,35.0,51.2
鸡舍温度-最低,float64,1458545,2.28%,485,26.24140910251771,4.974350475091502,0.0,10.5,20.7,26.5,29.4,32.0,34.6,90.0
鸡舍温度-平均,float64,1458545,0.06%,487,26.74117394430356,4.720066084156099,0.0,11.1,21.3,27.1,29.8,32.5,35.2,100.0
鸡舍温度-最高,float64,1458545,2.37%,487,27.095435256610568,4.7270350971849755,-307.2,11.6,21.7,27.4,30.1,32.8,35.5,48.3
温度1-平均,float64,1458545,0.01%,544,26.239551299852227,4.762276960422401,-8.4,10.3,20.7,26.6,29.4,32.0,35.2,53.5
温度2-平均,float64,1458545,0.01%,551,26.60671512636503,4.81460472634354,-327.7,10.8,21.1,26.9,29.7,32.4,35.3,307.2
温度3-平均,float64,1458545,0.05%,554,26.807378330026975,4.695936230971895,-39.6,11.3,21.3,27.2,29.9,32.6,35.3,88.5
温度4-平均,float64,1458545,0.05%,546,26.88752556082911,4.703274529214299,-7.5,11.5,21.4,27.3,30.1,32.7,35.3,65.2
温度5-平均,float64,1458545,0.01%,540,26.928585318758252,4.646846406186559,-6.4,11.5,21.5,27.4,30.1,32.4,35.3,61.4
温度6-平均,float64,1458545,18.37%,619,16.878393464873533,11.319133463428535,-35.8,-5.0,1.9,17.2,26.6,31.0,37.9,52.0
外部-平均,float64,1458545,8.73%,613,14.37711031705553,10.996777486432935,-35.8,-5.3,0.8,12.8,24.5,29.2,37.7,52.0
湿度内部平均,float64,1458545,4.22%,1129,72.75026445368786,21.758846033288183,-3276.8,1.0,54.9,76.0,84.5,91.0,100.0,3072.0
湿度外部平均,float64,1458545,94.79%,857,71.67151603728865,26.274806168577676,0.9,11.0,33.0,76.0,92.525,100.0,100.0,1000.0
水,float64,1458545,0.27%,1177,163.13328484395174,182.70026762362096,-1964.0,0.0,0.0,90.0,270.0,440.0,720.0,2950.0
饲料,float64,1458545,0.00%,2490,78.81217257519673,263.1550293577432,-2778.0,0.0,0.0,0.0,0.0,163.0,1296.0,3271.0
水平,float64,1458545,0.00%,275,14.717545449808437,34.52581193468269,0.0,1.0,3.0,15.0,21.0,25.0,30.0,10000.0
ID_NUM,object,1458545,0.00%,1209,G13_67_H6:0.39%,G13_67_H4:0.39%,G13_67_H8:0.39%,G13_67_H7:0.39%,G13_67_H3:0.39%,G28_24_H2:0.00%,G23_26_H5:0.00%,G23_26_H4:0.00%,G28_25_H8:0.00%,G28_25_H1:0.00%
