GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,4           ,4           ,4           ,
0        ,65          ,70          ,73          ,
1        ,59          ,74          ,74          ,
2        ,62          ,76          ,78          ,
3        ,59          ,76          ,81          ,
4        ,58          ,72          ,79          ,
5        ,53          ,67          ,79          ,
6        ,61          ,71          ,81          ,
7        ,67          ,83          ,83          ,
8        ,72          ,77          ,83          ,
9        ,58          ,78          ,81          ,
10       ,57          ,72          ,80          ,
11       ,45          ,64          ,76          ,
12       ,45          ,68          ,72          ,
13       ,53          ,78          ,79          ,
14       ,66          ,80          ,83          ,
15       ,61          ,79          ,83          ,
16       ,59          ,80          ,82          ,
17       ,59          ,79          ,81          ,
18       ,59          ,78          ,82          ,
19       ,67          ,81          ,83          ,
20       ,69          ,81          ,83          ,
21       ,71          ,81          ,82          ,
22       ,64          ,80          ,82          ,
23       ,70          ,79          ,84          ,
24       ,69          ,77          ,80          ,
25       ,66          ,81          ,83          ,
26       ,69          ,77          ,83          ,
27       ,70          ,80          ,81          ,
28       ,68          ,81          ,82          ,
29       ,70          ,81          ,82          ,
30       ,74          ,77          ,82          ,
31       ,77          ,78          ,84          ,
32       ,77          ,85          ,86          ,
33       ,74          ,76          ,85          ,
34       ,61          ,77          ,77          ,
35       ,74          ,84          ,84          ,
36       ,82          ,85          ,86          ,
37       ,84          ,85          ,86          ,
38       ,70          ,90          ,90          ,
39       ,不详          ,不详          ,不详          ,
40       ,不详          ,不详          ,不详          ,
